Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:cs:a0:de:04,00:1a:cs:a0:de:12,00:1a:cs:a0:de:16,00:1a:cs:a0:de:18,00:1a:cs:a0:de:19,00:1a:cs:a0:de:29,00:1a:cs:a0:de:34,00:1a:cs:a0:de:39,00:1a:cs:a0:de:56,00:1a:cs:a0:de:57,00:1a:cs:a0:de:58,00:1a:cs:a0:de:59,00:1a:cs:a0:de:63,00:1a:cs:a0:de:64,00:1a:cs:a0:de:70,00:1a:cs:a0:de:72,00:1a:cs:a0:de:73,00:1a:cs:a0:de:74,00:1a:cs:a0:de:75,00:1a:cs:a0:de:76,00:1a:cs:a0:de:77,00:1a:cs:a0:de:78,00:1a:cs:a0:de:79,00:1a:cs:a0:de:80,00:1a:cs:a0:de:81,00:1a:cs:a0:de:82,00:1a:cs:a0:de:83,00:1a:cs:a0:de:86,00:1a:cs:a0:de:88,00:1a:cs:a0:de:95,00:1a:cs:a0:de:97,00:1a:cs:a0:de:98,00:1a:cs:a0:df:02,00:1a:cs:a0:df:03,00:1a:cs:a0:df:09,00:1a:cs:a0:df:11,00:1a:cs:a0:df:12,00:1a:cs:a0:df:13,00:1a:cs:a0:df:14,00:1a:cs:a0:df:15,00:1a:cs:a0:df:16,00:1a:cs:a0:df:17,00:1a:cs:a0:df:18,00:1a:cs:a0:df:19,00:1a:cs:a0:df:20,00:1a:cs:a0:df:21,00:1a:cs:a0:df:22,00:1a:cs:a0:df:25,00:1a:cs:a0:df:27,00:1a:cs:a0:df:34,00:1a:cs:a0:df:36,00:1a:cs:a0:df:37,00:1a:cs:a0:de:05,00:1a:cs:a0:de:07,00:1a:cs:a0:de:08,00:1a:cs:a0:de:11,00:1a:cs:a0:de:24,00:1a:cs:a0:de:28,00:1a:cs:a0:de:36,00:1a:cs:a0:de:37,00:1a:cs:a0:de:40,00:1a:cs:a0:de:48,00:1a:cs:a0:de:61,00:1a:cs:a0:de:62,00:1a:cs:a0:de:65,00:1a:cs:a0:de:66,00:1a:cs:a0:de:67,00:1a:cs:a0:de:71,00:1a:cs:a0:de:84,00:1a:cs:a0:de:85,00:1a:cs:a0:de:87,00:1a:cs:a0:de:89,00:1a:cs:a0:de:90,00:1a:cs:a0:de:91,00:1a:cs:a0:de:92,00:1a:cs:a0:de:93,00:1a:cs:a0:de:94,00:1a:cs:a0:de:96,00:1a:cs:a0:de:99,00:1a:cs:a0:df:01,00:1a:cs:a0:df:04,00:1a:cs:a0:df:05,00:1a:cs:a0:df:06,00:1a:cs:a0:df:08,00:1a:cs:a0:df:10,00:1a:cs:a0:df:23,00:1a:cs:a0:df:24,00:1a:cs:a0:df:26,00:1a:cs:a0:df:28,00:1a:cs:a0:df:29,00:1a:cs:a0:df:30,00:1a:cs:a0:df:32,00:1a:cs:a0:df:33,00:1a:cs:a0:df:35,f0:b0:52:11:13:4c,f0:b0:52:11:14:8c,f0:b0:52:51:13:4c,f0:b0:52:51:14:8c,00:1a:cs:a0:de:25,00:1a:cs:a0:de:33,00:1a:cs:a0:de:44,00:1a:cs:a0:de:68,00:1a:cs:a0:de:69,00:1a:cs:a0:df:07,00:1a:cs:a0:de:01,00:1a:cs:a0:de:32,00:1a:cs:a0:de:47,00:1a:cs:a0:df:31,00:1a:cs:a0:de:15,00:1a:cs:a0:de:60,f0:b0:52:29:88:9c,f0:b0:52:69:88:9c,00:1a:cs:a0:de:30,00:1a:cs:a0:de:38,00:1a:cs:a0:de:46,00:1a:cs:a0:de:51,00:1a:cs:a0:de:02,00:1a:cs:a0:de:03,00:1a:cs:a0:de:23,00:1a:cs:a0:de:27,00:1a:cs:a0:de:31,00:1a:cs:a0:de:49,00:1a:cs:a0:de:54,00:1a:cs:a0:de:55,00:1a:cs:a0:de:45,00:1a:cs:a0:de:13,f0:b0:52:2a:1f:ac,00:1a:cs:a0:de:26,90:9f:33:a4:06:5e,c4:12:f5:a9:c3:20,00:1a:cs:a0:de:17,00:1a:cs:a0:de:20,00:1a:cs:a0:de:41,00:1a:cs:a0:de:35,00:1a:cs:a0:de:52,00:1a:cs:a0:de:53
2021.02.11 152348,50.0,21.0,29.53462151260505,-4.4495797655462175,-29.65562988235294,-0.2655350760756302,0.7535095968067226,9.674808075630253,0.007853981643697478,-0.00791044835462185,-0.0012576636752100838,-0.07776586335747179,0.0274560454564693,-1.6426934073953068,1018.4290574789916,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-70.0,-100.0,-100.0,-100.0,-100.0,-74.0,-74.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-70.0,-68.0,-100.0,-100.0,-75.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-69.0,-68.0,-100.0,-100.0,-100.0,-74.0,-67.0,-65.0,-100.0,-100.0,-67.0,-100.0,-100.0,-44.0,-63.0,-100.0,-100.0,-63.0,-73.0,-82.0,-48.0,-55.0,-87.0,-100.0,-57.0,-69.0,-100.0,-73.0,-100.0,-100.0,-63.0,-90.0,-100.0,-59.0,-73.0,-100.0,-82.0,-51.0,-55.0,-88.0,-100.0,-56.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-49.0,-61.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152440,50.0,22.0,2.044137908689655,21.659172179310346,-42.20813733793103,-0.15270053366551722,0.8912209431034482,9.66240364827586,0.0050006693886206904,-0.004111754866206896,0.00031175192862068835,-0.09203462718889627,0.01585954677269405,-0.05402384959040848,1018.3995240689654,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-79.0,-100.0,-79.0,-100.0,-54.0,-81.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-69.0,-74.0,-100.0,-100.0,-53.0,-84.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-72.0,-100.0,-100.0,-78.0,-74.0,-71.0,-100.0,-77.0,-100.0,-49.0,-72.0,-75.0,-57.0,-67.0,-87.0,-77.0,-65.0,-61.0,-80.0,-50.0,-60.0,-77.0,-84.0,-56.0,-62.0,-100.0,-68.0,-86.0,-87.0,-64.0,-86.0,-77.0,-65.0,-62.0,-100.0,-83.0,-51.0,-56.0,-78.0,-82.0,-56.0,-62.0,-67.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-71.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-75.0,-100.0,-81.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152451,50.0,23.0,6.151602945038168,25.63099203816794,-46.13541926717557,-0.3682318774503817,0.9119166991603054,9.671167549618323,0.007889953890076335,-0.010519938971755726,-0.001963162391221373,-0.09395894328601485,0.03814802601940584,-0.14597253751663755,1018.405091221374,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-57.0,-77.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-57.0,-78.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-100.0,-75.0,-72.0,-100.0,-58.0,-100.0,-100.0,-53.0,-72.0,-80.0,-55.0,-100.0,-77.0,-80.0,-100.0,-66.0,-81.0,-46.0,-52.0,-76.0,-83.0,-50.0,-71.0,-100.0,-67.0,-82.0,-80.0,-100.0,-78.0,-76.0,-100.0,-66.0,-73.0,-81.0,-48.0,-52.0,-76.0,-83.0,-48.0,-71.0,-67.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-72.0,-100.0,-100.0,-66.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152504,50.0,24.0,38.48556451304347,-3.686608635652174,-44.45217325217392,-0.10846774694869565,0.8000381090434782,9.70486530869565,0.005115332323478261,-0.003001207565217391,0.004408853555217393,-0.08226142130468199,0.011232193377192863,-1.5703786487164704,1018.3993299130433,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-61.0,-76.0,-87.0,-70.0,-100.0,-54.0,-52.0,-56.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-61.0,-59.0,-100.0,-100.0,-55.0,-52.0,-56.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-60.0,-59.0,-100.0,-100.0,-100.0,-72.0,-67.0,-50.0,-100.0,-100.0,-62.0,-75.0,-86.0,-54.0,-57.0,-78.0,-67.0,-48.0,-61.0,-63.0,-39.0,-47.0,-64.0,-74.0,-54.0,-69.0,-80.0,-65.0,-82.0,-63.0,-56.0,-79.0,-68.0,-48.0,-60.0,-100.0,-62.0,-39.0,-48.0,-65.0,-73.0,-54.0,-72.0,-63.0,-82.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-69.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-81.0,-88.0,-79.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152557,55.0,24.0,29.850243552845523,-0.39317072073170733,-35.79317041463415,-0.10927681531219513,0.5594451330894309,9.710220268292684,0.0059447618357723565,-0.005011081406910569,-0.0028258725585365856,-0.05756902431206,0.011297097594791429,-1.513498912012674,1018.4005053658536,-100.0,-81.0,-100.0,-100.0,-100.0,-76.0,-67.0,-50.0,-67.0,-100.0,-62.0,-81.0,-45.0,-53.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-78.0,-100.0,-66.0,-54.0,-59.0,-100.0,-100.0,-49.0,-53.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-78.0,-100.0,-66.0,-54.0,-59.0,-100.0,-100.0,-78.0,-82.0,-100.0,-56.0,-86.0,-100.0,-47.0,-72.0,-75.0,-57.0,-100.0,-100.0,-71.0,-59.0,-69.0,-73.0,-42.0,-50.0,-69.0,-72.0,-54.0,-66.0,-100.0,-70.0,-87.0,-64.0,-69.0,-100.0,-71.0,-59.0,-69.0,-80.0,-75.0,-42.0,-50.0,-68.0,-74.0,-52.0,-66.0,-69.0,-87.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-83.0,-100.0,-100.0,-64.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-75.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152642,59.0,24.0,32.47090871212121,1.5849999731818183,-30.640908553030304,-0.1793656101666667,0.31398504393939397,9.702157757575756,0.008376258011742424,-0.006409457246969697,-0.0018881291462121206,-0.03245856446411569,0.01847101906385043,-1.4895105361938477,1018.3886206818182,-100.0,-82.0,-100.0,-100.0,-100.0,-69.0,-68.0,-52.0,-62.0,-76.0,-100.0,-72.0,-42.0,-45.0,-100.0,-100.0,-100.0,-64.0,-88.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-67.0,-100.0,-66.0,-43.0,-43.0,-100.0,-100.0,-42.0,-44.0,-100.0,-100.0,-100.0,-66.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-66.0,-45.0,-41.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48.0,-72.0,-63.0,-69.0,-75.0,-100.0,-77.0,-62.0,-68.0,-70.0,-71.0,-74.0,-67.0,-64.0,-70.0,-77.0,-100.0,-79.0,-100.0,-55.0,-74.0,-100.0,-74.0,-65.0,-70.0,-100.0,-71.0,-67.0,-73.0,-67.0,-64.0,-69.0,-78.0,-79.0,-100.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-83.0,-80.0,-83.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-81.0,-100.0,-63.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152652,60.0,24.0,29.43496364748201,1.9843165158273381,-28.539280093525182,-0.06116410200143885,0.5510453310071941,9.683030061151081,0.009180557628776979,-0.006609650007913669,-0.002386329662949641,-0.05688305456432503,0.006394508834542991,-1.4476826182372278,1018.3895070503596,-100.0,-63.0,-80.0,-100.0,-82.0,-67.0,-61.0,-47.0,-81.0,-78.0,-46.0,-66.0,-35.0,-40.0,-65.0,-100.0,-100.0,-73.0,-87.0,-100.0,-100.0,-67.0,-85.0,-100.0,-100.0,-64.0,-88.0,-63.0,-37.0,-45.0,-81.0,-100.0,-34.0,-41.0,-64.0,-100.0,-100.0,-74.0,-87.0,-100.0,-100.0,-67.0,-85.0,-100.0,-100.0,-65.0,-90.0,-64.0,-36.0,-45.0,-81.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-62.0,-100.0,-100.0,-100.0,-80.0,-100.0,-72.0,-76.0,-100.0,-80.0,-67.0,-54.0,-74.0,-100.0,-82.0,-78.0,-100.0,-59.0,-100.0,-100.0,-82.0,-100.0,-73.0,-79.0,-75.0,-100.0,-79.0,-67.0,-52.0,-75.0,-100.0,-79.0,-100.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-78.0,-100.0,-100.0,-75.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-66.0,-100.0,-64.0,-100.0,-59.0,-100.0,-85.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152713,62.0,24.0,28.293023015503874,5.597209223255814,-33.56837158914728,-0.09240876186046511,0.38696980883720933,9.703253949612403,0.0008050163065891467,-0.005890824665503877,-0.0019935989531007768,-0.039931242751289654,0.009515741890090551,-1.3273081992023674,1018.3835210852711,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-54.0,-40.0,-62.0,-100.0,-44.0,-67.0,-28.0,-39.0,-66.0,-100.0,-100.0,-70.0,-82.0,-100.0,-100.0,-66.0,-84.0,-100.0,-100.0,-67.0,-84.0,-63.0,-39.0,-51.0,-100.0,-100.0,-29.0,-36.0,-65.0,-100.0,-100.0,-69.0,-82.0,-100.0,-100.0,-67.0,-86.0,-100.0,-100.0,-68.0,-84.0,-60.0,-40.0,-52.0,-100.0,-100.0,-100.0,-88.0,-100.0,-85.0,-100.0,-100.0,-57.0,-75.0,-55.0,-100.0,-72.0,-100.0,-82.0,-69.0,-72.0,-75.0,-100.0,-80.0,-65.0,-51.0,-77.0,-100.0,-100.0,-100.0,-100.0,-56.0,-71.0,-100.0,-82.0,-100.0,-72.0,-100.0,-73.0,-100.0,-80.0,-68.0,-51.0,-77.0,-100.0,-80.0,-100.0,-57.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-66.0,-100.0,-56.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152804,66.0,24.0,36.301525084745755,5.29118636440678,-30.582711355932204,-0.20683467822033894,0.38077951796610177,9.70150811440678,0.007009419693644069,-0.0037273133457627118,-0.002893844716101695,-0.03924619988932949,0.021350820592241474,-1.3898016557855122,1018.3738816949151,-100.0,-100.0,-81.0,-100.0,-100.0,-60.0,-56.0,-69.0,-56.0,-69.0,-47.0,-60.0,-40.0,-56.0,-70.0,-71.0,-85.0,-61.0,-82.0,-100.0,-100.0,-54.0,-82.0,-100.0,-100.0,-60.0,-90.0,-62.0,-48.0,-56.0,-74.0,-100.0,-40.0,-55.0,-70.0,-71.0,-85.0,-61.0,-82.0,-100.0,-100.0,-54.0,-79.0,-100.0,-100.0,-60.0,-90.0,-61.0,-48.0,-54.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-63.0,-79.0,-73.0,-79.0,-71.0,-100.0,-75.0,-67.0,-71.0,-72.0,-100.0,-86.0,-71.0,-73.0,-86.0,-100.0,-78.0,-83.0,-100.0,-60.0,-72.0,-100.0,-75.0,-69.0,-73.0,-80.0,-73.0,-100.0,-83.0,-70.0,-72.0,-85.0,-100.0,-82.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-81.0,-79.0,-100.0,-100.0,-83.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-60.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152847,70.0,24.0,20.87686930434783,3.1956521156521736,-25.212521478260868,-0.05891818132347826,0.4111364789565217,9.727245882608695,0.0038192356960869574,-0.004982535704782608,-0.0030012074391304352,-0.04224002852064107,0.006092375350427258,-1.367713238881982,1018.3622869565218,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-57.0,-66.0,-50.0,-68.0,-44.0,-62.0,-39.0,-54.0,-100.0,-72.0,-87.0,-61.0,-80.0,-90.0,-100.0,-52.0,-80.0,-100.0,-100.0,-60.0,-90.0,-62.0,-49.0,-53.0,-100.0,-100.0,-40.0,-55.0,-100.0,-72.0,-87.0,-58.0,-81.0,-89.0,-100.0,-53.0,-79.0,-100.0,-100.0,-60.0,-90.0,-63.0,-48.0,-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-63.0,-79.0,-71.0,-100.0,-72.0,-100.0,-72.0,-68.0,-70.0,-73.0,-79.0,-84.0,-72.0,-75.0,-86.0,-100.0,-82.0,-100.0,-90.0,-63.0,-73.0,-100.0,-76.0,-67.0,-70.0,-79.0,-73.0,-100.0,-82.0,-69.0,-74.0,-86.0,-100.0,-100.0,-90.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-84.0,-79.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-56.0,-100.0,-80.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 152858,71.0,24.0,16.935230546153846,6.148615306923078,-26.1083073,-0.061604651302307696,0.5184551716923076,9.69102863076923,0.005779724941538462,-0.004238465016923076,-0.0025844300957692306,-0.05346354154440069,0.006399837555305174,-1.1478694108816294,1018.3598563076923,-100.0,-72.0,-100.0,-100.0,-79.0,-70.0,-67.0,-71.0,-49.0,-60.0,-44.0,-52.0,-41.0,-64.0,-68.0,-65.0,-72.0,-60.0,-73.0,-84.0,-100.0,-47.0,-71.0,-100.0,-100.0,-52.0,-78.0,-100.0,-62.0,-56.0,-64.0,-90.0,-41.0,-63.0,-70.0,-66.0,-72.0,-60.0,-72.0,-84.0,-100.0,-47.0,-71.0,-100.0,-100.0,-53.0,-78.0,-100.0,-62.0,-56.0,-64.0,-90.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-67.0,-78.0,-74.0,-100.0,-75.0,-100.0,-81.0,-100.0,-74.0,-72.0,-81.0,-87.0,-68.0,-76.0,-100.0,-100.0,-84.0,-100.0,-100.0,-69.0,-75.0,-100.0,-80.0,-100.0,-76.0,-81.0,-75.0,-100.0,-87.0,-69.0,-75.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
