Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:cs:a0:de:04,00:1a:cs:a0:de:13,00:1a:cs:a0:de:16,00:1a:cs:a0:de:17,00:1a:cs:a0:de:18,00:1a:cs:a0:de:19,00:1a:cs:a0:de:20,00:1a:cs:a0:de:56,00:1a:cs:a0:de:57,00:1a:cs:a0:de:58,00:1a:cs:a0:de:59,00:1a:cs:a0:de:63,00:1a:cs:a0:de:72,00:1a:cs:a0:de:73,00:1a:cs:a0:de:74,00:1a:cs:a0:de:75,00:1a:cs:a0:de:76,00:1a:cs:a0:de:77,00:1a:cs:a0:de:78,00:1a:cs:a0:de:79,00:1a:cs:a0:de:80,00:1a:cs:a0:de:81,00:1a:cs:a0:de:82,00:1a:cs:a0:de:95,00:1a:cs:a0:de:97,00:1a:cs:a0:de:98,00:1a:cs:a0:df:02,00:1a:cs:a0:df:11,00:1a:cs:a0:df:12,00:1a:cs:a0:df:13,00:1a:cs:a0:df:14,00:1a:cs:a0:df:15,00:1a:cs:a0:df:16,00:1a:cs:a0:df:17,00:1a:cs:a0:df:18,00:1a:cs:a0:df:19,00:1a:cs:a0:df:20,00:1a:cs:a0:df:21,00:1a:cs:a0:df:34,00:1a:cs:a0:df:36,00:1a:cs:a0:df:37,00:1a:cs:a0:de:01,00:1a:cs:a0:de:05,00:1a:cs:a0:de:07,00:1a:cs:a0:de:08,00:1a:cs:a0:de:11,00:1a:cs:a0:de:25,00:1a:cs:a0:de:32,00:1a:cs:a0:de:33,00:1a:cs:a0:de:36,00:1a:cs:a0:de:39,00:1a:cs:a0:de:44,00:1a:cs:a0:de:47,00:1a:cs:a0:de:48,00:1a:cs:a0:de:61,00:1a:cs:a0:de:62,00:1a:cs:a0:de:64,00:1a:cs:a0:de:67,00:1a:cs:a0:de:71,00:1a:cs:a0:de:84,00:1a:cs:a0:de:85,00:1a:cs:a0:de:87,00:1a:cs:a0:de:88,00:1a:cs:a0:de:89,00:1a:cs:a0:de:90,00:1a:cs:a0:de:91,00:1a:cs:a0:de:92,00:1a:cs:a0:de:93,00:1a:cs:a0:de:94,00:1a:cs:a0:de:96,00:1a:cs:a0:de:99,00:1a:cs:a0:df:01,00:1a:cs:a0:df:03,00:1a:cs:a0:df:06,00:1a:cs:a0:df:10,00:1a:cs:a0:df:23,00:1a:cs:a0:df:24,00:1a:cs:a0:df:25,00:1a:cs:a0:df:26,00:1a:cs:a0:df:27,00:1a:cs:a0:df:28,00:1a:cs:a0:df:29,00:1a:cs:a0:df:30,00:1a:cs:a0:df:32,00:1a:cs:a0:df:33,00:1a:cs:a0:df:35,70:5d:cc:6d:14:f8,00:1a:cs:a0:de:23,00:1a:cs:a0:de:24,00:1a:cs:a0:de:34,00:1a:cs:a0:de:37,00:1a:cs:a0:de:40,00:1a:cs:a0:de:43,00:1a:cs:a0:de:54,00:1a:cs:a0:de:65,00:1a:cs:a0:de:66,00:1a:cs:a0:de:68,00:1a:cs:a0:de:69,00:1a:cs:a0:de:70,00:1a:cs:a0:de:86,00:1a:cs:a0:df:04,00:1a:cs:a0:df:05,00:1a:cs:a0:df:07,00:1a:cs:a0:df:08,00:1a:cs:a0:df:09,00:1a:cs:a0:de:28,00:1a:cs:a0:de:31,00:1a:cs:a0:de:55,00:1a:cs:a0:de:60,00:1a:cs:a0:de:02,00:1a:cs:a0:de:29,00:1a:cs:a0:de:51,00:1a:cs:a0:de:14,00:1a:cs:a0:de:49,00:1a:cs:a0:de:21,00:1a:cs:a0:de:22,00:1a:cs:a0:de:10,00:1a:cs:a0:de:27,00:1a:cs:a0:de:30,00:1a:cs:a0:de:42,00:1a:cs:a0:de:15,00:1a:cs:a0:de:45,00:1a:cs:a0:df:31,86:25:19:93:1e:ca,f0:b0:52:29:88:9c,f0:b0:52:69:88:9c,f4:28:53:71:29:24,9c:d6:43:c8:11:b6,00:1a:cs:a0:de:12,00:1a:cs:a0:de:26,00:1a:cs:a0:de:83,00:1a:cs:a0:df:22,90:9f:33:3d:46:6c,00:1a:cs:a0:de:46,88:36:6c:da:57:98,00:1a:cs:a0:de:06,00:1a:cs:a0:de:41,00:1a:cs:a0:de:35,00:1a:cs:a0:de:50,00:1a:cs:a0:de:52
2021.02.11 150031,43.0,24.0,25.872676762886602,2.8219287378350515,-31.137418175257736,-0.011563263766597939,0.48402798113402057,9.747409567010308,0.00816497972,-0.008730698995257732,0.009164770025051547,-0.049686854570796773,0.0011235898757487092,-1.403402571825637,1016.3716176288661,-57.0,-79.0,-76.0,-88.0,-70.0,-74.0,-87.0,-41.0,-63.0,-61.0,-74.0,-69.0,-35.0,-60.0,-62.0,-90.0,-63.0,-74.0,-51.0,-72.0,-48.0,-49.0,-70.0,-80.0,-38.0,-70.0,-68.0,-35.0,-60.0,-63.0,-89.0,-63.0,-73.0,-51.0,-72.0,-48.0,-48.0,-59.0,-80.0,-40.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150043,44.0,24.0,27.91646401,3.1675616635599995,-32.83759048,-0.12966667954699998,0.5272080564999999,9.748178465,0.0020108217626000004,-0.00847176204086,-0.0026778262769999984,-0.05402563733048732,0.013311272886930929,-1.392334669828415,1016.3724567000002,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-47.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-67.0,-57.0,-100.0,-100.0,-46.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-66.0,-59.0,-100.0,-100.0,-67.0,-80.0,-64.0,-64.0,-57.0,-76.0,-68.0,-78.0,-56.0,-66.0,-67.0,-75.0,-52.0,-59.0,-81.0,-69.0,-61.0,-78.0,-51.0,-61.0,-79.0,-57.0,-88.0,-58.0,-84.0,-80.0,-57.0,-79.0,-80.0,-59.0,-82.0,-70.0,-62.0,-79.0,-50.0,-60.0,-61.0,-80.0,-56.0,-88.0,-56.0,-84.0,-59.0,-80.0,-80.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150055,45.0,24.0,28.05674691919192,7.057457809090908,-32.75249182828283,-0.06721838678080809,0.6569679996969696,9.732169570707072,0.007025643439353534,-0.007480550908282828,-0.005877483887939394,-0.06740063545529285,0.00690089221638059,-1.2497032447294756,1016.3693935353534,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-78.0,-83.0,-53.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-77.0,-70.0,-100.0,-100.0,-53.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-76.0,-71.0,-100.0,-100.0,-74.0,-84.0,-68.0,-65.0,-68.0,-100.0,-75.0,-100.0,-59.0,-79.0,-76.0,-75.0,-54.0,-70.0,-76.0,-57.0,-63.0,-77.0,-52.0,-59.0,-75.0,-61.0,-85.0,-57.0,-78.0,-86.0,-71.0,-81.0,-86.0,-70.0,-76.0,-57.0,-63.0,-77.0,-52.0,-59.0,-68.0,-75.0,-56.0,-85.0,-57.0,-78.0,-71.0,-79.0,-85.0,-100.0,-94.0,-86.0,-81.0,-76.0,-81.0,-88.0,-83.0,-77.0,-60.0,-82.0,-82.0,-69.0,-57.0,-80.0,-61.0,-82.0,-82.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150114,45.0,23.0,10.390434123809523,-24.245953999999998,-26.110201257142858,-0.15722717916761905,0.5833227127619048,9.74123911904762,0.007759792202666667,-0.00696457763047619,-0.0013709834055999999,-0.05980625120656826,0.01617708428446866,-2.7267882097335088,1016.3689140000001,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-89.0,-75.0,-85.0,-54.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-81.0,-77.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-82.0,-78.0,-100.0,-100.0,-72.0,-82.0,-74.0,-77.0,-63.0,-100.0,-74.0,-86.0,-65.0,-70.0,-82.0,-78.0,-61.0,-70.0,-74.0,-60.0,-68.0,-74.0,-49.0,-53.0,-75.0,-68.0,-81.0,-59.0,-76.0,-89.0,-72.0,-82.0,-83.0,-70.0,-75.0,-60.0,-68.0,-74.0,-49.0,-53.0,-70.0,-75.0,-68.0,-81.0,-60.0,-76.0,-73.0,-82.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-78.0,-57.0,-85.0,-73.0,-73.0,-70.0,-77.0,-56.0,-84.0,-73.0,-100.0,-86.0,-85.0,-86.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150126,45.0,22.0,1.6698750647083334,-31.70287861458333,-24.143756822916668,-0.10751495785416665,0.344053266875,9.762749088541668,-0.0024538219008020837,-0.007632280183156251,-0.0015916869245833336,-0.03521298659810171,0.011017369025770024,-2.8342112377285957,1016.3668311458335,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-74.0,-85.0,-51.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-83.0,-74.0,-100.0,-100.0,-52.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-81.0,-73.0,-100.0,-100.0,-73.0,-100.0,-62.0,-71.0,-66.0,-82.0,-72.0,-88.0,-67.0,-72.0,-74.0,-78.0,-61.0,-68.0,-77.0,-65.0,-60.0,-74.0,-57.0,-63.0,-79.0,-66.0,-86.0,-63.0,-77.0,-100.0,-79.0,-77.0,-77.0,-67.0,-77.0,-65.0,-60.0,-74.0,-57.0,-64.0,-80.0,-79.0,-65.0,-86.0,-63.0,-77.0,-78.0,-78.0,-78.0,-100.0,-100.0,-100.0,-81.0,-77.0,-76.0,-100.0,-81.0,-78.0,-72.0,-100.0,-79.0,-72.0,-80.0,-81.0,-66.0,-100.0,-80.0,-72.0,-100.0,-100.0,-100.0,-100.0,-91.0,-86.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150237,46.0,17.0,23.258628457943928,5.952678914953271,-18.63294334579439,0.0666838323859813,0.3638163105046729,9.76328253738318,0.004187860796682244,-0.003524887938130841,-0.0035795948400934577,-0.03728841839218943,-0.006789804176235924,-1.2944405613658585,1016.3404406542057,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-67.0,-100.0,-74.0,-100.0,-57.0,-73.0,-100.0,-81.0,-54.0,-64.0,-69.0,-100.0,-53.0,-66.0,-84.0,-59.0,-63.0,-81.0,-55.0,-66.0,-80.0,-100.0,-89.0,-53.0,-83.0,-100.0,-100.0,-86.0,-85.0,-66.0,-84.0,-60.0,-64.0,-82.0,-56.0,-67.0,-100.0,-80.0,-100.0,-89.0,-55.0,-83.0,-64.0,-87.0,-86.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-61.0,-75.0,-73.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-84.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150256,47.0,17.0,-19.52944809090909,20.30191929292929,-9.637133464646464,-0.018832448514141422,0.33281739929292936,9.758896505050503,0.0024753672763131312,-0.0032924498486363637,-0.0014363044550505047,-0.03410224504580698,0.0019447647222238739,0.758858505523566,1016.3315627272729,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-56.0,-100.0,-83.0,-100.0,-58.0,-75.0,-100.0,-77.0,-62.0,-70.0,-72.0,-79.0,-100.0,-67.0,-100.0,-100.0,-88.0,-100.0,-50.0,-57.0,-100.0,-78.0,-100.0,-57.0,-80.0,-100.0,-77.0,-100.0,-100.0,-65.0,-100.0,-100.0,-87.0,-100.0,-50.0,-59.0,-81.0,-100.0,-79.0,-100.0,-53.0,-79.0,-77.0,-100.0,-100.0,-100.0,-82.0,-100.0,-75.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-80.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150308,47.0,18.0,-8.006658038793104,11.22670515086207,-15.180533297413794,-0.18038585526724132,0.29912691568965516,9.754303284482758,0.005003581782241379,-0.006527568535534483,-5.510504387931022e-05,-0.030740776412381658,0.018485493454198986,0.6166460285412854,1016.3336100862068,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-73.0,-80.0,-74.0,-58.0,-77.0,-61.0,-100.0,-60.0,-75.0,-71.0,-73.0,-52.0,-64.0,-100.0,-82.0,-79.0,-100.0,-48.0,-68.0,-100.0,-70.0,-100.0,-59.0,-85.0,-100.0,-65.0,-100.0,-100.0,-65.0,-100.0,-82.0,-80.0,-100.0,-49.0,-69.0,-100.0,-100.0,-72.0,-100.0,-60.0,-85.0,-66.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-92.0,-89.0,-81.0,-100.0,-100.0,-59.0,-100.0,-100.0,-75.0,-100.0,-100.0,-59.0,-100.0,-100.0,-74.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-83.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150328,47.0,19.0,2.028074837475728,11.9754416407767,-16.678243577669903,-0.09623512110194177,0.59955938592233,9.736748708737862,-0.007206211456116504,-0.002587483754951456,-0.0032117748224271842,-0.06151260075710926,0.009865476874305687,-0.14284665291242804,1016.3239826213593,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-76.0,-81.0,-66.0,-59.0,-69.0,-67.0,-76.0,-60.0,-100.0,-74.0,-83.0,-53.0,-68.0,-100.0,-75.0,-76.0,-100.0,-49.0,-64.0,-100.0,-75.0,-100.0,-57.0,-87.0,-100.0,-77.0,-100.0,-100.0,-68.0,-100.0,-73.0,-76.0,-100.0,-49.0,-65.0,-80.0,-100.0,-77.0,-100.0,-56.0,-89.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-89.0,-90.0,-100.0,-100.0,-100.0,-63.0,-100.0,-78.0,-72.0,-83.0,-100.0,-63.0,-100.0,-76.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150446,50.0,21.0,29.179675659999997,-3.1256902554000003,-16.033822205000003,-0.20861637335500002,0.7904009927,9.720988300000002,-0.0069101411570000005,-0.00848331049944,-0.005739238566499999,-0.0811904171109199,0.02147654199739914,-1.6318097138404846,1016.2996122,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-100.0,-81.0,-100.0,-62.0,-68.0,-60.0,-76.0,-66.0,-67.0,-78.0,-85.0,-52.0,-65.0,-100.0,-83.0,-79.0,-100.0,-52.0,-68.0,-100.0,-66.0,-100.0,-58.0,-82.0,-100.0,-61.0,-100.0,-100.0,-66.0,-100.0,-83.0,-79.0,-100.0,-51.0,-68.0,-81.0,-100.0,-71.0,-100.0,-59.0,-82.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-76.0,-51.0,-84.0,-100.0,-100.0,-83.0,-100.0,-52.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-71.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150505,50.0,22.0,1.157462644130841,24.681623140186918,-24.395576392523363,-0.21220098936448598,0.5184419939626168,9.746484626168222,-0.007573160084112149,-0.00795266718317757,-0.007122028795981308,-0.05333700299123733,0.02204145135784466,-0.023561093027629473,1016.29307,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-70.0,-100.0,-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-80.0,-74.0,-61.0,-80.0,-58.0,-100.0,-57.0,-62.0,-57.0,-100.0,-61.0,-63.0,-100.0,-79.0,-80.0,-86.0,-48.0,-52.0,-86.0,-70.0,-100.0,-50.0,-74.0,-100.0,-65.0,-100.0,-89.0,-62.0,-100.0,-79.0,-80.0,-86.0,-48.0,-52.0,-83.0,-85.0,-69.0,-100.0,-50.0,-74.0,-65.0,-100.0,-89.0,-100.0,-100.0,-83.0,-70.0,-81.0,-77.0,-100.0,-100.0,-100.0,-60.0,-100.0,-83.0,-100.0,-80.0,-100.0,-60.0,-100.0,-78.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-85.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
