Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:cs:a0:de:07,00:1a:cs:a0:de:08,00:1a:cs:a0:de:13,00:1a:cs:a0:de:29,00:1a:cs:a0:de:34,00:1a:cs:a0:de:36,00:1a:cs:a0:de:39,00:1a:cs:a0:de:40,00:1a:cs:a0:de:48,00:1a:cs:a0:de:55,00:1a:cs:a0:de:56,00:1a:cs:a0:de:57,00:1a:cs:a0:de:58,00:1a:cs:a0:de:59,00:1a:cs:a0:de:61,00:1a:cs:a0:de:63,00:1a:cs:a0:de:64,00:1a:cs:a0:de:65,00:1a:cs:a0:de:66,00:1a:cs:a0:de:67,00:1a:cs:a0:de:69,00:1a:cs:a0:de:70,00:1a:cs:a0:de:71,00:1a:cs:a0:de:73,00:1a:cs:a0:de:74,00:1a:cs:a0:de:75,00:1a:cs:a0:de:76,00:1a:cs:a0:de:78,00:1a:cs:a0:de:79,00:1a:cs:a0:de:82,00:1a:cs:a0:de:83,00:1a:cs:a0:de:85,00:1a:cs:a0:de:86,00:1a:cs:a0:de:87,00:1a:cs:a0:de:88,00:1a:cs:a0:de:89,00:1a:cs:a0:de:90,00:1a:cs:a0:de:92,00:1a:cs:a0:de:93,00:1a:cs:a0:de:95,00:1a:cs:a0:de:96,00:1a:cs:a0:de:97,00:1a:cs:a0:de:99,00:1a:cs:a0:df:02,00:1a:cs:a0:df:03,00:1a:cs:a0:df:04,00:1a:cs:a0:df:05,00:1a:cs:a0:df:06,00:1a:cs:a0:df:08,00:1a:cs:a0:df:09,00:1a:cs:a0:df:10,00:1a:cs:a0:df:11,00:1a:cs:a0:df:12,00:1a:cs:a0:df:13,00:1a:cs:a0:df:14,00:1a:cs:a0:df:15,00:1a:cs:a0:df:17,00:1a:cs:a0:df:18,00:1a:cs:a0:df:21,00:1a:cs:a0:df:22,00:1a:cs:a0:df:24,00:1a:cs:a0:df:25,00:1a:cs:a0:df:26,00:1a:cs:a0:df:27,00:1a:cs:a0:df:28,00:1a:cs:a0:df:29,00:1a:cs:a0:df:31,00:1a:cs:a0:df:32,00:1a:cs:a0:df:34,00:1a:cs:a0:df:35,00:1a:cs:a0:df:36,00:1a:cs:a0:df:37,00:1a:cs:a0:de:01,00:1a:cs:a0:de:05,00:1a:cs:a0:de:09,00:1a:cs:a0:de:11,00:1a:cs:a0:de:25,00:1a:cs:a0:de:30,00:1a:cs:a0:de:32,00:1a:cs:a0:de:33,00:1a:cs:a0:de:37,00:1a:cs:a0:de:44,00:1a:cs:a0:de:47,00:1a:cs:a0:de:62,00:1a:cs:a0:de:84,00:1a:cs:a0:de:91,00:1a:cs:a0:de:94,00:1a:cs:a0:df:01,00:1a:cs:a0:df:23,00:1a:cs:a0:df:30,00:1a:cs:a0:df:33,00:1a:cs:a0:de:23,00:1a:cs:a0:de:24,00:1a:cs:a0:de:43,00:1a:cs:a0:de:54,00:1a:cs:a0:de:68,00:1a:cs:a0:df:07,00:1a:cs:a0:de:28,00:1a:cs:a0:de:31,00:1a:cs:a0:de:60,00:1a:cs:a0:de:02,00:1a:cs:a0:de:51,00:1a:cs:a0:de:49,00:1a:cs:a0:de:27,00:1a:cs:a0:de:42,00:1a:cs:a0:de:50,00:1a:cs:a0:de:46,44:1e:98:03:8c:7c,44:1e:98:43:8c:7c,00:1a:cs:a0:de:15,00:1a:cs:a0:de:14,90:9f:33:a4:06:5e,00:1a:cs:a0:de:10,00:1a:cs:a0:de:45,00:1a:cs:a0:de:72,9c:d6:43:c8:11:b6,f0:b0:52:29:88:9c,f0:b0:52:69:88:9c,f0:b0:52:2a:1f:ac,00:1a:cs:a0:de:12,00:1a:cs:a0:de:06,00:1a:cs:a0:de:26,90:9f:33:3d:46:6c,88:36:6c:da:57:98,00:1a:cs:a0:de:80,00:1a:cs:a0:de:04,00:1a:cs:a0:de:16,00:1a:cs:a0:de:19,00:1a:cs:a0:df:19,00:1a:cs:a0:de:81,00:1a:cs:a0:de:98,00:1a:cs:a0:df:20,00:1a:cs:a0:de:18,00:1a:cs:a0:de:77,00:1a:cs:a0:df:16,00:1a:cs:a0:de:17,00:1a:cs:a0:de:20,00:1a:cs:a0:de:41,00:1a:cs:a0:de:35
2021.02.11 150030,43.0,24.0,22.861061707964602,1.6529203346017702,-47.94902591150442,-0.15959006884070795,0.2844737482654867,10.028917933628318,0.0002888690495575218,-0.0033835934134513277,-0.002667945687699115,-0.028382116786525663,0.015898623367754976,-1.4329768166077876,1017.6920619469026,-88.0,-86.0,-71.0,-79.0,-76.0,-72.0,-68.0,-75.0,-81.0,-86.0,-56.0,-65.0,-50.0,-58.0,-79.0,-51.0,-58.0,-78.0,-69.0,-75.0,-77.0,-60.0,-73.0,-84.0,-57.0,-74.0,-83.0,-54.0,-68.0,-59.0,-73.0,-89.0,-65.0,-69.0,-65.0,-83.0,-85.0,-81.0,-82.0,-67.0,-75.0,-76.0,-79.0,-53.0,-58.0,-78.0,-76.0,-75.0,-77.0,-60.0,-73.0,-77.0,-85.0,-57.0,-75.0,-83.0,-55.0,-68.0,-60.0,-73.0,-90.0,-65.0,-69.0,-65.0,-83.0,-84.0,-81.0,-81.0,-66.0,-75.0,-76.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150042,44.0,24.0,24.418918630630632,3.401081028828828,-50.85837773873873,-0.17432909031351349,0.14954511033873877,10.009902049549545,0.0002591609916216215,0.0037855870347747746,0.000306412257927928,-0.014964276765644526,0.017450650426326278,-1.393626819859754,1017.6869364864866,-65.0,-65.0,-100.0,-100.0,-100.0,-67.0,-76.0,-82.0,-60.0,-100.0,-85.0,-91.0,-77.0,-79.0,-59.0,-55.0,-60.0,-75.0,-55.0,-64.0,-100.0,-62.0,-73.0,-100.0,-82.0,-100.0,-100.0,-72.0,-100.0,-73.0,-100.0,-64.0,-70.0,-75.0,-67.0,-88.0,-64.0,-87.0,-65.0,-68.0,-82.0,-100.0,-59.0,-55.0,-60.0,-75.0,-55.0,-64.0,-100.0,-62.0,-73.0,-100.0,-100.0,-83.0,-100.0,-100.0,-82.0,-100.0,-76.0,-100.0,-64.0,-71.0,-74.0,-67.0,-88.0,-63.0,-87.0,-65.0,-68.0,-83.0,-100.0,-100.0,-71.0,-83.0,-90.0,-66.0,-85.0,-82.0,-77.0,-79.0,-77.0,-78.0,-72.0,-72.0,-57.0,-82.0,-81.0,-72.0,-57.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150055,45.0,24.0,25.250973185840706,7.804778591150443,-50.01132677876107,-0.2976316645132744,0.18077834105663718,10.008280579646016,0.003375630428672567,0.000968145755752212,-0.004689747547787611,-0.018081735959817394,0.029739731150077595,-1.217824935913086,1017.6829273451327,-68.0,-65.0,-100.0,-100.0,-81.0,-59.0,-79.0,-81.0,-54.0,-100.0,-81.0,-100.0,-78.0,-83.0,-70.0,-53.0,-57.0,-77.0,-60.0,-63.0,-82.0,-69.0,-77.0,-100.0,-84.0,-100.0,-100.0,-81.0,-100.0,-77.0,-100.0,-59.0,-57.0,-75.0,-61.0,-85.0,-57.0,-86.0,-71.0,-70.0,-86.0,-100.0,-70.0,-53.0,-57.0,-80.0,-61.0,-63.0,-82.0,-63.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-76.0,-100.0,-59.0,-68.0,-75.0,-56.0,-85.0,-57.0,-100.0,-71.0,-71.0,-85.0,-100.0,-100.0,-74.0,-84.0,-100.0,-68.0,-100.0,-100.0,-75.0,-100.0,-76.0,-76.0,-75.0,-76.0,-52.0,-78.0,-81.0,-76.0,-52.0,-78.0,-79.0,-94.0,-86.0,-88.0,-83.0,-82.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150114,45.0,23.0,8.150655589344261,-27.287212770491802,-41.565737245901644,-0.15456810306557375,0.373977873442623,10.01966718442623,0.0031644020660655733,-0.0013917011755737708,0.000874018041229508,-0.037310099442962694,0.01537544804922927,-2.8589279221706705,1017.6735871311474,-74.0,-77.0,-100.0,-100.0,-100.0,-65.0,-70.0,-85.0,-61.0,-86.0,-85.0,-89.0,-75.0,-85.0,-70.0,-54.0,-60.0,-78.0,-57.0,-68.0,-73.0,-73.0,-74.0,-100.0,-82.0,-100.0,-100.0,-80.0,-100.0,-81.0,-100.0,-53.0,-70.0,-75.0,-68.0,-81.0,-59.0,-89.0,-72.0,-77.0,-83.0,-100.0,-70.0,-56.0,-60.0,-77.0,-56.0,-68.0,-73.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-82.0,-100.0,-53.0,-70.0,-75.0,-68.0,-81.0,-60.0,-100.0,-73.0,-78.0,-82.0,-100.0,-100.0,-72.0,-82.0,-100.0,-63.0,-100.0,-100.0,-74.0,-86.0,-100.0,-82.0,-78.0,-74.0,-49.0,-76.0,-82.0,-75.0,-49.0,-76.0,-82.0,-100.0,-100.0,-100.0,-100.0,-85.0,-84.0,-86.0,-85.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150126,45.0,22.0,3.8905554962962956,-31.154444046296295,-38.35388845370371,-0.23763177476851852,0.1468266851574074,10.002260375,0.0005123122984259258,-0.0006303449729629633,0.003868722672592593,-0.014702151932632846,0.023853611078165013,-2.9871864605832985,1017.670426759259,-62.0,-71.0,-100.0,-86.0,-81.0,-67.0,-72.0,-76.0,-61.0,-100.0,-77.0,-100.0,-74.0,-85.0,-68.0,-51.0,-65.0,-78.0,-72.0,-60.0,-79.0,-72.0,-74.0,-100.0,-82.0,-100.0,-100.0,-78.0,-100.0,-83.0,-100.0,-63.0,-80.0,-79.0,-66.0,-86.0,-63.0,-100.0,-79.0,-74.0,-77.0,-100.0,-67.0,-52.0,-65.0,-81.0,-66.0,-60.0,-80.0,-72.0,-74.0,-100.0,-100.0,-83.0,-100.0,-100.0,-79.0,-100.0,-81.0,-100.0,-64.0,-80.0,-79.0,-65.0,-86.0,-63.0,-100.0,-78.0,-73.0,-78.0,-100.0,-100.0,-73.0,-100.0,-100.0,-66.0,-82.0,-100.0,-72.0,-88.0,-77.0,-74.0,-78.0,-77.0,-57.0,-77.0,-77.0,-77.0,-57.0,-77.0,-78.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150137,45.0,21.0,7.269026438053097,-29.907610185840706,-36.69504349557523,-0.19427527133805308,0.06901020411681415,10.01531503982301,0.003829725206371681,-0.00011303181079646038,-0.003305840425309734,-0.006897937607914348,0.01938579204882206,-2.9249513128162485,1017.6663891150442,-79.0,-77.0,-100.0,-100.0,-100.0,-65.0,-70.0,-73.0,-54.0,-100.0,-70.0,-100.0,-81.0,-100.0,-74.0,-59.0,-70.0,-84.0,-65.0,-76.0,-85.0,-72.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-81.0,-75.0,-84.0,-60.0,-91.0,-76.0,-71.0,-79.0,-92.0,-100.0,-59.0,-70.0,-84.0,-66.0,-76.0,-82.0,-69.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-82.0,-76.0,-84.0,-60.0,-90.0,-77.0,-72.0,-80.0,-100.0,-100.0,-70.0,-84.0,-100.0,-69.0,-87.0,-100.0,-70.0,-100.0,-100.0,-76.0,-69.0,-84.0,-58.0,-78.0,-100.0,-84.0,-59.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-89.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150148,45.0,20.0,12.010526039473683,-32.40526272807018,-34.851578657894734,-0.18908470302982455,0.287018943431579,9.983138793859649,0.0012946483631578953,-0.005448500139649123,0.003377827829385965,-0.028774971276824927,0.018835251434530468,-2.795659851609615,1017.6645179824561,-80.0,-77.0,-100.0,-100.0,-83.0,-68.0,-72.0,-80.0,-52.0,-100.0,-85.0,-100.0,-87.0,-100.0,-72.0,-64.0,-72.0,-100.0,-69.0,-77.0,-100.0,-81.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-87.0,-89.0,-73.0,-90.0,-62.0,-100.0,-69.0,-73.0,-100.0,-100.0,-100.0,-66.0,-72.0,-100.0,-69.0,-77.0,-100.0,-81.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-87.0,-89.0,-74.0,-88.0,-62.0,-100.0,-80.0,-74.0,-89.0,-100.0,-100.0,-65.0,-74.0,-100.0,-68.0,-80.0,-80.0,-56.0,-77.0,-100.0,-77.0,-69.0,-89.0,-61.0,-78.0,-100.0,-100.0,-61.0,-78.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-79.0,-100.0,-100.0,-100.0,-95.0,-86.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150159,45.0,19.0,16.018406769911504,-22.49893778761062,-33.41415882300885,-0.1670271526106195,0.2510174648672566,9.998978911504425,0.0013376109044247785,0.000773533870265486,-0.00022989074141592858,-0.025132297187944654,0.016665375276635554,-2.522592215411431,1017.6563511504426,-74.0,-77.0,-100.0,-100.0,-100.0,-68.0,-72.0,-100.0,-50.0,-100.0,-91.0,-100.0,-100.0,-100.0,-80.0,-73.0,-83.0,-100.0,-100.0,-81.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-92.0,-74.0,-100.0,-59.0,-100.0,-82.0,-80.0,-87.0,-100.0,-81.0,-74.0,-83.0,-88.0,-71.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-89.0,-100.0,-75.0,-100.0,-59.0,-100.0,-82.0,-80.0,-87.0,-100.0,-100.0,-65.0,-77.0,-100.0,-70.0,-84.0,-76.0,-68.0,-84.0,-86.0,-79.0,-66.0,-100.0,-59.0,-77.0,-100.0,-100.0,-59.0,-77.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150211,45.0,18.0,12.801428254464284,-19.2701783125,-31.530535276785717,-0.14872294489285712,0.032835768942857134,9.996567575892856,0.001795856771428572,0.006632164063571429,0.0016230254883928595,-0.003423830355917539,0.014958357385298549,-2.57196658211095,1017.65026625,-78.0,-80.0,-100.0,-100.0,-86.0,-69.0,-72.0,-85.0,-51.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-72.0,-80.0,-100.0,-68.0,-82.0,-100.0,-80.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-90.0,-81.0,-100.0,-65.0,-100.0,-79.0,-80.0,-100.0,-90.0,-79.0,-73.0,-81.0,-100.0,-68.0,-82.0,-100.0,-80.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-92.0,-100.0,-100.0,-65.0,-100.0,-79.0,-80.0,-100.0,-100.0,-100.0,-67.0,-85.0,-100.0,-70.0,-83.0,-100.0,-59.0,-100.0,-85.0,-78.0,-68.0,-100.0,-59.0,-75.0,-100.0,-100.0,-60.0,-75.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150223,45.0,17.0,0.5957522073451327,-22.229734203539824,-32.08407037168141,-0.1617724624938053,0.33369410484070794,9.993618274336283,0.0007267459527433627,0.0008546223424778758,0.0014729633229203544,-0.0333724199728298,0.016213220945879386,0.4740039078535232,1017.6472981415931,-79.0,-76.0,-100.0,-100.0,-100.0,-67.0,0.0,-100.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-76.0,-85.0,-100.0,-63.0,-82.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-76.0,-77.0,-84.0,-73.0,-64.0,-81.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-83.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-84.0,-100.0,-65.0,-78.0,-100.0,-59.0,-86.0,-83.0,-74.0,-61.0,-100.0,-57.0,-79.0,-100.0,-100.0,-56.0,-80.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,-76.0,-82.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150236,46.0,17.0,18.914237110169488,5.533220243220339,-34.2645758559322,-0.20738883790508475,0.22875469637966103,10.003970080508475,-0.0007749910988135586,0.0034975971322033905,-0.0036032559449152546,-0.02299869741484326,0.020635420157398433,-1.2341401152691598,1017.6473229661016,-82.0,-76.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-47.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-83.0,-84.0,-100.0,-70.0,-82.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-91.0,-79.0,-100.0,-65.0,-100.0,-85.0,-86.0,-100.0,-100.0,-100.0,-84.0,-83.0,-100.0,-70.0,-81.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-91.0,-80.0,-100.0,-62.0,-100.0,-85.0,-87.0,-100.0,-100.0,-100.0,-68.0,-86.0,-100.0,-66.0,-81.0,-76.0,-62.0,-83.0,-85.0,-75.0,-59.0,-100.0,-58.0,-74.0,-100.0,-100.0,-60.0,-74.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-83.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-91.0,-93.0,-86.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150255,47.0,17.0,-19.612363427272722,15.629999781818182,-29.456726927272722,-0.25551265446545457,0.22042564617272728,10.011311800000001,-0.002593844888909091,-0.0033499295947272715,-0.0024113625525454545,-0.02202433502216903,0.025489298286064138,0.8961535150354559,1017.640345,-74.0,-75.0,-100.0,-100.0,-87.0,-65.0,-80.0,-81.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-78.0,-100.0,-62.0,-75.0,-100.0,-92.0,-88.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-91.0,-81.0,-100.0,-60.0,-100.0,-78.0,-83.0,-100.0,-100.0,-100.0,-76.0,-78.0,-100.0,-63.0,-76.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-89.0,-81.0,-100.0,-60.0,-100.0,-78.0,-83.0,-100.0,-100.0,-100.0,-70.0,-83.0,-100.0,-62.0,-86.0,-87.0,-68.0,-100.0,-86.0,-76.0,-73.0,-100.0,-61.0,-69.0,-100.0,-100.0,-61.0,-69.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
