Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:cs:a0:de:07,00:1a:cs:a0:de:08,00:1a:cs:a0:de:13,00:1a:cs:a0:de:29,00:1a:cs:a0:de:34,00:1a:cs:a0:de:36,00:1a:cs:a0:de:39,00:1a:cs:a0:de:40,00:1a:cs:a0:de:48,00:1a:cs:a0:de:55,00:1a:cs:a0:de:56,00:1a:cs:a0:de:57,00:1a:cs:a0:de:58,00:1a:cs:a0:de:59,00:1a:cs:a0:de:61,00:1a:cs:a0:de:63,00:1a:cs:a0:de:64,00:1a:cs:a0:de:65,00:1a:cs:a0:de:66,00:1a:cs:a0:de:67,00:1a:cs:a0:de:69,00:1a:cs:a0:de:70,00:1a:cs:a0:de:71,00:1a:cs:a0:de:73,00:1a:cs:a0:de:74,00:1a:cs:a0:de:75,00:1a:cs:a0:de:76,00:1a:cs:a0:de:78,00:1a:cs:a0:de:79,00:1a:cs:a0:de:82,00:1a:cs:a0:de:83,00:1a:cs:a0:de:85,00:1a:cs:a0:de:86,00:1a:cs:a0:de:87,00:1a:cs:a0:de:88,00:1a:cs:a0:de:89,00:1a:cs:a0:de:90,00:1a:cs:a0:de:92,00:1a:cs:a0:de:93,00:1a:cs:a0:de:95,00:1a:cs:a0:de:96,00:1a:cs:a0:de:97,00:1a:cs:a0:de:99,00:1a:cs:a0:df:02,00:1a:cs:a0:df:03,00:1a:cs:a0:df:04,00:1a:cs:a0:df:05,00:1a:cs:a0:df:06,00:1a:cs:a0:df:08,00:1a:cs:a0:df:09,00:1a:cs:a0:df:10,00:1a:cs:a0:df:11,00:1a:cs:a0:df:12,00:1a:cs:a0:df:13,00:1a:cs:a0:df:14,00:1a:cs:a0:df:15,00:1a:cs:a0:df:17,00:1a:cs:a0:df:18,00:1a:cs:a0:df:21,00:1a:cs:a0:df:22,00:1a:cs:a0:df:24,00:1a:cs:a0:df:25,00:1a:cs:a0:df:26,00:1a:cs:a0:df:27,00:1a:cs:a0:df:28,00:1a:cs:a0:df:29,00:1a:cs:a0:df:31,00:1a:cs:a0:df:32,00:1a:cs:a0:df:34,00:1a:cs:a0:df:35,00:1a:cs:a0:df:36,00:1a:cs:a0:df:37,00:1a:cs:a0:de:01,00:1a:cs:a0:de:05,00:1a:cs:a0:de:09,00:1a:cs:a0:de:11,00:1a:cs:a0:de:25,00:1a:cs:a0:de:30,00:1a:cs:a0:de:32,00:1a:cs:a0:de:33,00:1a:cs:a0:de:37,00:1a:cs:a0:de:44,00:1a:cs:a0:de:47,00:1a:cs:a0:de:62,00:1a:cs:a0:de:84,00:1a:cs:a0:de:91,00:1a:cs:a0:de:94,00:1a:cs:a0:df:01,00:1a:cs:a0:df:23,00:1a:cs:a0:df:30,00:1a:cs:a0:df:33,00:1a:cs:a0:de:23,00:1a:cs:a0:de:24,00:1a:cs:a0:de:43,00:1a:cs:a0:de:54,00:1a:cs:a0:de:68,00:1a:cs:a0:df:07,00:1a:cs:a0:de:28,00:1a:cs:a0:de:31,00:1a:cs:a0:de:60,00:1a:cs:a0:de:02,00:1a:cs:a0:de:51,00:1a:cs:a0:de:49,00:1a:cs:a0:de:27,00:1a:cs:a0:de:42,00:1a:cs:a0:de:50,00:1a:cs:a0:de:46,44:1e:98:03:8c:7c,44:1e:98:43:8c:7c,00:1a:cs:a0:de:15,00:1a:cs:a0:de:14,90:9f:33:a4:06:5e,00:1a:cs:a0:de:10,00:1a:cs:a0:de:45,00:1a:cs:a0:de:72,9c:d6:43:c8:11:b6,f0:b0:52:29:88:9c,f0:b0:52:69:88:9c,f0:b0:52:2a:1f:ac,00:1a:cs:a0:de:12,00:1a:cs:a0:de:06,00:1a:cs:a0:de:26,90:9f:33:3d:46:6c,88:36:6c:da:57:98,00:1a:cs:a0:de:80,00:1a:cs:a0:de:04,00:1a:cs:a0:de:16,00:1a:cs:a0:de:19,00:1a:cs:a0:df:19,00:1a:cs:a0:de:81,00:1a:cs:a0:de:98,00:1a:cs:a0:df:20,00:1a:cs:a0:de:18,00:1a:cs:a0:de:77,00:1a:cs:a0:df:16,00:1a:cs:a0:de:17,00:1a:cs:a0:de:20,00:1a:cs:a0:de:41,00:1a:cs:a0:de:35
2021.02.11 150307,47.0,18.0,-13.346956271739133,8.028695489855073,-30.284782202898555,-0.17747128328985506,0.2917892296202898,10.006073405797101,0.001849133417028985,-0.0018026457028985506,0.0013232049123188406,-0.029156477438147553,0.017708080979278833,0.9994290652482406,1017.6297728985509,-78.0,-73.0,-100.0,-100.0,-100.0,-67.0,-70.0,-80.0,-50.0,-100.0,-91.0,-100.0,-100.0,-100.0,-72.0,-75.0,-82.0,-100.0,-69.0,-81.0,-100.0,-81.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-88.0,-84.0,-100.0,-62.0,-100.0,-66.0,-80.0,-100.0,-100.0,-71.0,-75.0,-81.0,-100.0,-69.0,-81.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-88.0,-88.0,-83.0,-100.0,-63.0,-100.0,-73.0,-78.0,-100.0,-100.0,-100.0,-66.0,-85.0,-100.0,-64.0,-78.0,-100.0,-70.0,-100.0,-79.0,-81.0,-100.0,-100.0,-52.0,-79.0,-100.0,-100.0,-52.0,-79.0,-100.0,-100.0,-83.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150327,47.0,19.0,-5.077699062831858,10.055043955752213,-32.83380489380531,-0.2437922670318584,0.3285241669911505,10.013365765486727,0.0002672453819469027,0.00014645084690265473,-0.0025922634784955752,-0.03280593802641446,0.0242968264784853,0.4800783269173276,1017.6269012389381,-74.0,-75.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-53.0,-100.0,-100.0,-100.0,-94.0,-100.0,-71.0,-77.0,-76.0,-100.0,-67.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-89.0,-89.0,-78.0,-100.0,-66.0,-100.0,-79.0,-89.0,-100.0,-100.0,-66.0,-77.0,-76.0,-100.0,-66.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-90.0,-88.0,-77.0,-100.0,-62.0,-100.0,-79.0,-88.0,-100.0,-100.0,-100.0,-59.0,-82.0,-100.0,-65.0,-81.0,-82.0,-66.0,-82.0,-83.0,-74.0,-71.0,-100.0,-50.0,-78.0,-100.0,-100.0,-51.0,-78.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150340,47.0,20.0,1.7282050975213676,17.901025384615384,-37.69794811111111,-0.15311080425641027,0.31017114009059826,10.005224243589746,0.0004444381956410253,0.0035687007205128206,-0.004615081694957264,-0.031084795160573258,0.015303244638161186,-0.06285791547046615,1017.6243896581198,-72.0,-74.0,-100.0,-100.0,-100.0,-63.0,-77.0,-88.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-83.0,-85.0,-66.0,-73.0,-100.0,-76.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-90.0,-100.0,-100.0,-64.0,-100.0,-78.0,-80.0,-100.0,-100.0,-100.0,-71.0,-83.0,-100.0,-66.0,-74.0,-100.0,-78.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-91.0,-73.0,-100.0,-61.0,-100.0,-78.0,-81.0,-100.0,-100.0,-100.0,-62.0,-80.0,-100.0,-69.0,-100.0,-85.0,-74.0,-100.0,-84.0,-100.0,-71.0,-100.0,-54.0,-76.0,-100.0,-100.0,-54.0,-77.0,-100.0,-94.0,-100.0,-100.0,-80.0,-100.0,-100.0,-89.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150352,47.0,21.0,-9.266315604385962,24.17157864912281,-40.27842043859649,-0.27191820886842105,0.1709596227140351,9.998302644736842,-0.00084337964991228,-0.0020512317070175436,-0.008250045966403509,-0.01708375340387397,0.02724554530128408,0.39334601908922195,1017.6216708771929,-74.0,-71.0,-100.0,-100.0,-100.0,-68.0,-69.0,-80.0,-56.0,-100.0,-87.0,-100.0,-91.0,-100.0,-75.0,-69.0,-81.0,-100.0,-67.0,-74.0,-84.0,-83.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-84.0,-78.0,-100.0,-61.0,-100.0,-74.0,-77.0,-87.0,-100.0,-75.0,-69.0,-81.0,-79.0,-66.0,-74.0,-84.0,-82.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-62.0,-85.0,-84.0,-78.0,-100.0,-61.0,-100.0,-73.0,-78.0,-88.0,-100.0,-100.0,-74.0,-81.0,-100.0,-65.0,-77.0,-83.0,-77.0,-78.0,-88.0,-76.0,-72.0,-100.0,-57.0,-77.0,-84.0,-100.0,-57.0,-77.0,-85.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150419,48.0,21.0,28.901128532258063,7.418709554838709,-38.0196768548387,-0.11791803473225805,0.4390597987338711,10.000422475806452,0.0014203997730645173,0.001705831406129032,0.0009377371298387098,-0.04389841750925102,0.01180703877311783,-1.2607470568149322,1017.6058836290322,-72.0,-75.0,-100.0,-100.0,-100.0,-64.0,-72.0,-75.0,-56.0,-100.0,-100.0,-100.0,-100.0,-86.0,-65.0,-60.0,-71.0,-72.0,-58.0,-62.0,-82.0,-60.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-79.0,-84.0,-59.0,-86.0,-62.0,-100.0,-71.0,-73.0,-83.0,-100.0,-64.0,-60.0,-71.0,-72.0,-58.0,-62.0,-81.0,-74.0,-80.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-83.0,-63.0,-85.0,-62.0,-100.0,-70.0,-72.0,-82.0,-100.0,-100.0,-72.0,-80.0,-100.0,-61.0,-82.0,-70.0,-71.0,-87.0,-77.0,-73.0,-100.0,-83.0,-54.0,-74.0,-79.0,-83.0,-54.0,-73.0,-79.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150432,49.0,21.0,24.65624970535714,2.6716071026785713,-36.75803514285714,-0.21206433955357143,0.38094622494642855,10.000800330357142,0.003944793346339285,0.0012761845298214288,0.0031774591470535704,-0.03809791723532331,0.021159173771073726,-1.3998426411833083,1017.599897857143,-76.0,-75.0,-86.0,-100.0,-81.0,-63.0,-68.0,-71.0,-66.0,-88.0,-85.0,-100.0,-81.0,-100.0,-100.0,-66.0,-76.0,-84.0,-65.0,-69.0,-77.0,-70.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-84.0,-80.0,-72.0,-87.0,-62.0,-100.0,-71.0,-69.0,-78.0,-100.0,-100.0,-100.0,-76.0,-83.0,-64.0,-69.0,-79.0,-65.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-59.0,-83.0,-80.0,-73.0,-86.0,-62.0,-100.0,-71.0,-70.0,-78.0,-100.0,-100.0,-100.0,-76.0,-100.0,-66.0,-100.0,-100.0,-60.0,-90.0,-72.0,-65.0,-86.0,-100.0,-59.0,-64.0,-87.0,-100.0,-59.0,-64.0,-86.0,-100.0,-76.0,-100.0,-70.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-89.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-94.0,-77.0,-92.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150445,50.0,21.0,25.592347539130444,-1.891304313217391,-33.22695633913044,-0.18492129363130436,0.5039219779130435,10.002010082608697,-0.005403342250956522,-0.0036423235723478256,-0.008162912324,-0.05038052896118677,0.01843674334940375,-1.5767360158588575,1017.5923760869565,-75.0,-76.0,-100.0,-100.0,-74.0,-58.0,-64.0,-78.0,-68.0,-85.0,-85.0,-100.0,-92.0,-100.0,-60.0,-62.0,-79.0,-83.0,-64.0,-75.0,-82.0,-76.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-84.0,-72.0,-87.0,-56.0,-100.0,-76.0,-75.0,-83.0,-100.0,-69.0,-59.0,-79.0,-83.0,-63.0,-75.0,-81.0,-76.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-83.0,-72.0,-87.0,-56.0,-100.0,-76.0,-75.0,-83.0,-100.0,-100.0,-76.0,-76.0,-100.0,-64.0,-88.0,-81.0,-61.0,-100.0,-73.0,-68.0,-82.0,-84.0,-57.0,-66.0,-100.0,-86.0,-57.0,-66.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-83.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150504,50.0,22.0,-5.124406711016949,21.706270966101695,-42.08694867796609,-0.15047408355423728,0.2575671546101695,10.001352567796609,0.005090350490593221,0.0026589517320339006,0.002303500443220342,-0.02597266808053539,0.014923674479655704,0.24544798507023666,1017.593666016949,-77.0,-79.0,-89.0,-100.0,-100.0,-60.0,-63.0,-68.0,-66.0,-82.0,-85.0,-100.0,-100.0,-100.0,-66.0,-63.0,-76.0,-83.0,-68.0,-70.0,-82.0,-76.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-78.0,-100.0,-100.0,-56.0,-100.0,-75.0,-70.0,-82.0,-100.0,-70.0,-63.0,-76.0,-83.0,-70.0,-70.0,-81.0,-77.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-60.0,-100.0,-78.0,-100.0,-100.0,-55.0,-100.0,-73.0,-69.0,-82.0,-100.0,-100.0,-78.0,-83.0,-100.0,-67.0,-100.0,-100.0,-61.0,-100.0,-71.0,-69.0,-100.0,-100.0,-53.0,-63.0,-86.0,-100.0,-52.0,-63.0,-85.0,-100.0,-87.0,-86.0,-77.0,-90.0,-100.0,-100.0,-77.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150516,50.0,23.0,-4.724999920535715,26.36892825,-43.685892419642855,-0.2910754088732143,0.21311183478571433,10.008325272321429,-0.002976527913392858,-0.004799742899107143,-0.0028002934947321434,-0.0213360020484937,0.029090335794535304,0.21485762504328573,1017.5813000892857,-76.0,-69.0,-89.0,-100.0,-81.0,-61.0,-65.0,-81.0,-69.0,-100.0,-82.0,-100.0,-87.0,-100.0,-69.0,-63.0,-70.0,-78.0,-65.0,-63.0,-79.0,-66.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-49.0,-72.0,-77.0,-65.0,-87.0,-55.0,-100.0,-72.0,-71.0,-83.0,-100.0,-69.0,-63.0,-70.0,-77.0,-63.0,-63.0,-77.0,-64.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-49.0,-72.0,-78.0,-64.0,-87.0,-56.0,-100.0,-64.0,-71.0,-84.0,-100.0,-100.0,-76.0,-79.0,-100.0,-57.0,-87.0,-100.0,-72.0,-87.0,-73.0,-68.0,-80.0,-75.0,-49.0,-68.0,-79.0,-75.0,-50.0,-68.0,-79.0,-100.0,-83.0,-89.0,-100.0,-86.0,-86.0,-84.0,-84.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150614,50.0,24.0,32.267102532710275,-1.5392523106542053,-45.68467228037383,-0.21915446196822433,0.4403004253271028,9.991286364485982,0.0029995423926168227,0.003993168910467289,-0.0013297110486915882,-0.044047428503911024,0.02204870707605674,-1.5537228105224181,1017.5489389719625,-73.0,-77.0,-100.0,-90.0,-100.0,-60.0,-63.0,-74.0,-55.0,-82.0,-77.0,-91.0,-76.0,-81.0,-100.0,-50.0,-53.0,-81.0,-55.0,-61.0,-77.0,-56.0,-63.0,-100.0,-83.0,-100.0,-100.0,-80.0,-100.0,-69.0,-89.0,-54.0,-71.0,-62.0,-64.0,-84.0,-58.0,-100.0,-69.0,-60.0,-73.0,-100.0,-100.0,-49.0,-53.0,-81.0,-56.0,-61.0,-76.0,-56.0,-63.0,-100.0,-100.0,-82.0,-100.0,-100.0,-80.0,-100.0,-79.0,-90.0,-54.0,-73.0,-62.0,-64.0,-84.0,-58.0,-100.0,-61.0,-59.0,-73.0,-100.0,-100.0,-76.0,-84.0,-100.0,-55.0,-86.0,-100.0,-71.0,-89.0,-74.0,-76.0,-77.0,-84.0,-48.0,-77.0,-80.0,-84.0,-48.0,-76.0,-81.0,-100.0,-100.0,-100.0,-100.0,-78.0,-78.0,-100.0,-86.0,-100.0,-100.0,-100.0,-84.0,-93.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150625,51.0,24.0,34.15061917699115,-2.633628279646018,-43.360353486725664,-0.24493643102654866,0.4026407486725664,10.005949853982301,0.002310670632035398,-0.0007022733794690264,0.0029433649989380525,-0.04023330568014516,0.024467690637648323,-1.59621720081937,1017.5446050442478,-82.0,-100.0,-79.0,-90.0,-100.0,-58.0,0.0,-72.0,-65.0,-100.0,-79.0,-87.0,0.0,-84.0,-70.0,-45.0,-54.0,-100.0,-67.0,-74.0,-80.0,-70.0,-77.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-59.0,-74.0,-77.0,-59.0,-79.0,-60.0,-100.0,-81.0,-58.0,-74.0,-100.0,-71.0,-45.0,-54.0,-100.0,-100.0,-74.0,-100.0,-69.0,-77.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-59.0,-74.0,-78.0,-59.0,-79.0,-60.0,-100.0,-79.0,-59.0,-75.0,-100.0,-100.0,-76.0,-79.0,-100.0,-59.0,-100.0,-100.0,-70.0,-100.0,-73.0,-72.0,-100.0,-85.0,-46.0,-75.0,-100.0,-84.0,-46.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150637,52.0,24.0,27.848035285714282,-0.6889285587499999,-39.69964216071428,-0.21441585993749998,0.1763426145892857,10.003921441964284,0.0033666528997321437,-0.003659824492857143,-0.001125868347857143,-0.01760738274398521,0.021445657901946674,-1.569301259304796,1017.5357316964286,-84.0,-100.0,-82.0,-100.0,-78.0,-58.0,-56.0,-72.0,-63.0,-82.0,-76.0,-89.0,-74.0,-78.0,-100.0,-48.0,-52.0,-84.0,-67.0,-70.0,-100.0,-69.0,-75.0,-100.0,-75.0,-100.0,-100.0,-77.0,-100.0,-74.0,-100.0,-55.0,-66.0,-74.0,-58.0,-79.0,-63.0,-100.0,-80.0,-58.0,-70.0,-100.0,-71.0,-48.0,-52.0,-84.0,-67.0,-70.0,-100.0,-72.0,-75.0,-100.0,-100.0,-74.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-55.0,-69.0,-74.0,-58.0,-78.0,-64.0,-100.0,-80.0,-60.0,-70.0,-100.0,-100.0,-75.0,-83.0,-100.0,-63.0,-100.0,-100.0,-69.0,-100.0,-62.0,-71.0,-84.0,-86.0,-56.0,-76.0,-88.0,-86.0,-55.0,-76.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-83.0,-100.0,-91.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150648,53.0,24.0,24.458035366071424,-1.549821391875,-36.35089247321429,-0.2775221034285714,0.2262589693357143,9.996054638392858,0.0010540917420535719,-0.0012981758076785715,-0.002663939498839285,-0.022642402190285744,0.02780099767343403,-1.5997146559613091,1017.5306332142857,-87.0,-85.0,-76.0,-83.0,-79.0,-52.0,-68.0,-67.0,-68.0,-81.0,-69.0,-89.0,-79.0,-79.0,-71.0,-48.0,-51.0,-100.0,-76.0,-77.0,-78.0,-68.0,-75.0,-100.0,-76.0,-87.0,-100.0,-70.0,-100.0,-76.0,-92.0,-68.0,-71.0,-74.0,-58.0,-73.0,-61.0,-100.0,-81.0,-59.0,-69.0,-100.0,-71.0,-48.0,-51.0,-100.0,-73.0,-77.0,-79.0,-71.0,-75.0,-100.0,-100.0,-76.0,-100.0,-100.0,-71.0,-100.0,-78.0,-91.0,-68.0,-100.0,-74.0,-57.0,-72.0,-63.0,-100.0,-80.0,-59.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-68.0,-100.0,-65.0,-74.0,-100.0,-100.0,-63.0,-78.0,-100.0,-100.0,-63.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-86.0,-100.0,-77.0,-84.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-91.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150702,54.0,24.0,23.432920097345132,0.15663716637168143,-34.87592871681416,-0.1624504871699115,0.1342277071858407,9.997326305309732,0.00026183964398230117,0.0004221512143362835,0.002056799367522124,-0.01343004171096765,0.016267540475736794,-1.5415148165373675,1017.5210264601768,-86.0,-86.0,-80.0,-84.0,-100.0,-55.0,-59.0,-66.0,-72.0,-76.0,-72.0,-86.0,-70.0,-80.0,-80.0,-47.0,-55.0,-84.0,-66.0,-76.0,-100.0,-69.0,-77.0,-100.0,-73.0,-86.0,-100.0,-80.0,-100.0,-80.0,-100.0,-73.0,-71.0,-75.0,-57.0,-76.0,-70.0,-100.0,-84.0,-54.0,-68.0,-100.0,-79.0,-47.0,-55.0,-84.0,-73.0,-76.0,-100.0,-70.0,-77.0,-100.0,-100.0,-73.0,-85.0,-100.0,-76.0,-100.0,-78.0,-100.0,-73.0,-71.0,-75.0,-58.0,-76.0,-70.0,-89.0,-83.0,-54.0,-68.0,-100.0,-100.0,-85.0,-100.0,-100.0,-78.0,-100.0,-100.0,-65.0,-100.0,-67.0,-71.0,-100.0,-100.0,-65.0,-85.0,-100.0,-100.0,-68.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-88.0,-100.0,-100.0,-75.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-89.0,-100.0,-100.0,-100.0,-88.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 150715,55.0,24.0,24.17999972972973,0.5697297197297299,-37.27081025225225,-0.1215471948036036,0.03785542561621621,10.003625247747742,0.005300175181531533,0.0008908560418018016,-0.0035899174930630624,-0.003781505184251644,0.012190012561093333,-1.539641607989062,1017.5192909009007,-89.0,-89.0,-70.0,-86.0,-72.0,-52.0,-55.0,-64.0,-63.0,-72.0,-68.0,-100.0,-69.0,-81.0,-78.0,-46.0,-56.0,-100.0,-70.0,-76.0,-83.0,-66.0,-77.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-75.0,-100.0,-79.0,-100.0,-77.0,-66.0,-74.0,-100.0,-100.0,-100.0,-51.0,-68.0,-100.0,-100.0,-45.0,-57.0,-100.0,-70.0,-76.0,-83.0,-69.0,-77.0,-84.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-75.0,-100.0,-80.0,-100.0,-77.0,-65.0,-74.0,-100.0,-100.0,-100.0,-51.0,-68.0,-100.0,-100.0,-100.0,-89.0,-100.0,-78.0,-100.0,-100.0,-70.0,-100.0,-66.0,-70.0,-100.0,-87.0,-72.0,-86.0,-100.0,-86.0,-72.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-85.0,-100.0,-100.0,-80.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
