Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ee:a0:de:01,00:1a:ee:a0:de:02,00:1a:ee:a0:de:03,00:1a:ee:a0:de:04,00:1a:ee:a0:de:05,00:1a:ee:a0:de:07,00:1a:ee:a0:de:09,00:1a:ee:a0:de:10,00:1a:ee:a0:de:11,00:1a:ee:a0:de:12,00:1a:ee:a0:de:13,00:1a:ee:a0:de:17,00:1a:ee:a0:de:18,00:1a:ee:a0:de:19,00:1a:ee:a0:de:20,00:1a:ee:a0:de:22,00:1a:ee:a0:de:23,00:1a:ee:a0:de:36,00:1a:ee:a0:de:37,00:1a:ee:a0:de:43,00:1a:ee:a0:de:44,00:1a:ee:a0:de:49,00:1a:ee:a0:de:50,00:1a:ee:a0:de:52,00:1a:ee:a0:de:63,00:1a:ee:a0:de:64,00:1a:ee:a0:de:65,00:1a:ee:a0:de:68,00:1a:ee:a0:de:70,00:1a:ee:a0:de:72,00:1a:ee:a0:de:78,00:1a:ee:a0:de:79,00:1a:ee:a0:de:80,00:1a:ee:a0:de:81,00:1a:ee:a0:de:82,00:1a:ee:a0:de:84,00:1a:ee:a0:de:86,00:1a:ee:a0:de:89,00:1a:ee:a0:de:90,00:1a:ee:a0:de:91,00:1a:ee:a0:de:94,00:1a:ee:a0:de:95,00:1a:ee:a0:de:97,00:1a:ee:a0:de:98,00:1a:ee:a0:df:01,00:1a:ee:a0:df:03,00:1a:ee:a0:df:04,00:1a:ee:a0:df:05,00:1a:ee:a0:df:06,00:1a:ee:a0:df:08,00:1a:ee:a0:df:09,00:1a:ee:a0:df:14,00:1a:ee:a0:df:16,00:1a:ee:a0:df:19,00:1a:ee:a0:df:28,00:1a:ee:a0:df:40,00:08:9f:7c:21:44,00:1a:ee:a0:de:06,00:1a:ee:a0:de:15,00:1a:ee:a0:de:16,00:1a:ee:a0:de:77,00:1a:ee:a0:de:99,00:1a:ee:a0:df:02,00:1a:ee:a0:df:18,00:1a:ee:a0:df:30,00:1a:ee:a0:df:43,00:1a:ee:a0:de:61,00:1a:ee:a0:df:44,00:1a:ee:a0:de:53,00:1a:ee:a0:de:71,00:1a:ee:a0:df:31,00:1a:ee:a0:de:25,00:1a:ee:a0:de:26,00:1a:ee:a0:de:27,00:1a:ee:a0:de:62,00:1a:ee:a0:df:07,00:1a:ee:a0:df:10,00:1a:ee:a0:df:20,00:1a:ee:a0:df:23,00:1a:ee:a0:df:35,00:1a:ee:a0:de:08,00:1a:ee:a0:de:74,00:1a:ee:a0:de:93,00:1a:ee:a0:df:17,00:1a:ee:a0:df:27,00:1a:ee:a0:df:39,00:1a:ee:a0:de:29,00:1a:ee:a0:de:30,00:1a:ee:a0:de:33,00:1a:ee:a0:de:51,00:1a:ee:a0:df:15,00:1a:ee:a0:de:55,00:1a:ee:a0:de:54,00:1a:ee:a0:de:56,00:1a:ee:a0:df:36,00:1a:ee:a0:de:32,00:1a:ee:a0:de:69,00:1a:ee:a0:de:40,00:1a:ee:a0:de:47,00:1a:ee:a0:df:11,00:1a:ee:a0:de:21,00:1a:ee:a0:de:39,00:1a:ee:a0:de:46,00:1a:ee:a0:de:67,00:1a:ee:a0:df:24,00:1a:ee:a0:de:34,00:1a:ee:a0:de:41,00:1a:ee:a0:df:12,00:1a:ee:a0:df:29,00:1a:ee:a0:df:41,00:1a:ee:a0:df:26,00:1a:ee:a0:df:37,00:1a:ee:a0:df:38
2021.02.11 161957,44.0,35.0,5.908146834259259,-34.528682518518515,-16.69702472685185,-0.01751466767462963,0.754568913425926,9.734112824074074,-0.005300639857351852,-0.011215371534907405,-0.0014006731689814806,-0.07742085766599131,0.0018716340111697956,-2.9658395338941506,1014.9536257407408,-66.0,-61.0,-76.0,-79.0,-91.0,-73.0,-85.0,-78.0,-80.0,-82.0,-83.0,-68.0,-61.0,-73.0,-80.0,-71.0,-65.0,-73.0,-88.0,-74.0,-89.0,-83.0,-78.0,-60.0,-91.0,-67.0,-54.0,-75.0,-66.0,-82.0,-87.0,-79.0,-84.0,-70.0,-81.0,-54.0,-84.0,-88.0,-63.0,-79.0,-82.0,-76.0,-75.0,-82.0,-66.0,-69.0,-85.0,-86.0,-64.0,-87.0,-70.0,-81.0,-78.0,-82.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162009,44.0,34.0,6.314026620175438,-32.110715912280696,-17.565433192982457,0.11921188075877194,0.4965424964035088,9.761135030701757,-0.0031134097776315778,-0.005599685778508771,-0.0015777471365789472,-0.05084553194281297,-0.012178578196637702,-2.935194174448649,1014.9430562280703,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-100.0,-79.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-83.0,-87.0,-79.0,-100.0,-100.0,-84.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-62.0,-79.0,-61.0,-100.0,-100.0,-80.0,-83.0,-79.0,-73.0,-79.0,-82.0,-67.0,-82.0,-80.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162020,44.0,33.0,9.508227030612247,-30.87422052040817,-15.935409545918368,0.07075815073704081,0.4164745351020408,9.757593836734694,-0.0020279705058163272,-0.003043241801163266,-0.00671473163,-0.04266207068398285,-0.007244315605410996,-2.8327576384252433,1014.940650612245,-77.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-73.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-82.0,-82.0,-65.0,-100.0,-81.0,-100.0,-80.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162031,44.0,32.0,13.389360995098041,-24.7294344509804,-11.42166518137255,-0.07780621092352942,0.5958474694117646,9.739900593137254,-0.001289706565490195,-0.002591173215000001,-0.004903623644705882,-0.06112746171214997,0.008028518180271548,-2.6352041141659606,1014.9350920588232,-87.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-64.0,-100.0,-100.0,-81.0,-100.0,-100.0,-72.0,-81.0,-81.0,-65.0,-100.0,-100.0,-100.0,-80.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162159,44.0,26.0,2.737130245436894,-31.78582831067961,-28.433453932038834,-0.024921725642828157,0.48666294304854374,9.753027000000001,-0.0021852557427184463,-0.0052781811303398065,-0.0012822130403883495,-0.04983495641047655,0.002569114412088099,-3.0539195699599184,1014.9145899999999,-76.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-74.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162219,44.0,25.0,8.890090716831683,-41.66286391089109,-27.385740732673266,-0.08438645067524754,0.6711018706930694,9.747223722772278,0.0022507051304950496,-0.0019037218681188127,0.0012072945191089106,-0.06880951517879369,0.008643150916421018,-2.9267932849355263,1014.9146326732675,-75.0,-100.0,-100.0,-75.0,-100.0,-66.0,-81.0,-100.0,-85.0,-82.0,-100.0,-100.0,-100.0,-83.0,-76.0,-56.0,-100.0,-68.0,-87.0,-66.0,-87.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-88.0,-100.0,-77.0,-100.0,-100.0,-78.0,-100.0,-100.0,-65.0,-83.0,-100.0,-100.0,-100.0,-100.0,-73.0,-94.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-68.0,-77.0,-100.0,-100.0,-69.0,-85.0,-100.0,-58.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-77.0,-62.0,-100.0,-84.0,-85.0,-86.0,-84.0,-78.0,-80.0,-83.0,-77.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162250,42.0,25.0,-38.55217437623762,-13.861854490099011,-29.385063188118817,-0.18495165666336635,0.6827686820792079,9.73355102970297,-0.002362997750891089,-0.0027967948692574265,-0.005415167224970299,-0.0700607061902485,0.019005615813980335,1.8644379330153513,1014.9217497029705,-67.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-81.0,-79.0,-100.0,-100.0,-100.0,-85.0,-100.0,-48.0,-100.0,-72.0,-88.0,-100.0,-87.0,-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-88.0,-100.0,-68.0,-82.0,-100.0,-73.0,-100.0,-100.0,-63.0,-100.0,-85.0,-100.0,-100.0,-100.0,-70.0,-83.0,-90.0,-100.0,-64.0,-100.0,-100.0,-100.0,-64.0,-84.0,-100.0,-100.0,-67.0,-100.0,-100.0,-51.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-79.0,-78.0,-76.0,-69.0,-82.0,-84.0,-82.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162301,41.0,25.0,-32.31120287254902,-17.84285518627451,-29.590238372549024,-0.12733256046666666,0.5391423945098041,9.744339867647058,0.0020248878031372554,-0.00805783136,-0.0034063487289215694,-0.05530548722063206,0.013091564491974923,2.0308852990468345,1014.9272859803922,-68.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-80.0,-100.0,-57.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-80.0,-100.0,-83.0,-75.0,-81.0,-72.0,-100.0,-100.0,-63.0,-89.0,-100.0,-100.0,-100.0,-100.0,-60.0,-77.0,-87.0,-100.0,-100.0,-100.0,-65.0,-100.0,-75.0,-76.0,-100.0,-100.0,-67.0,-100.0,-82.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162401,37.0,25.0,-24.03649871153846,-14.507337500000002,-23.88910141346154,-0.2151601633682692,0.55265582875,9.739553144230769,0.008124466531826921,0.0021139886307692296,0.000831099252192307,-0.056706724025738876,0.022082759237841462,2.06273622237719,1014.9676413461538,-66.0,-67.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-79.0,-100.0,-76.0,-69.0,-87.0,-100.0,-66.0,-74.0,-100.0,-91.0,-100.0,-89.0,-100.0,-100.0,-62.0,-100.0,-100.0,-73.0,-100.0,-76.0,-100.0,-85.0,-100.0,-100.0,-72.0,-83.0,-74.0,-76.0,-100.0,-60.0,-91.0,-100.0,-75.0,-100.0,-100.0,-66.0,-100.0,-83.0,-87.0,-100.0,-100.0,-62.0,-100.0,-68.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-70.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-81.0,-83.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162429,35.0,25.0,-25.477151970588235,-11.926185877450985,-23.852225666666666,0.094699701725,0.763067035490196,9.73533155882353,0.0063636634460784314,-0.004367225780686275,0.001842302397647059,-0.07820592944820717,-0.00972174289074922,1.948207353844362,1014.9883903921569,-76.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-74.0,-65.0,-75.0,-100.0,-71.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-80.0,-100.0,-100.0,-72.0,-85.0,-69.0,-78.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-77.0,-80.0,-100.0,-73.0,-83.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-65.0,-72.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162454,32.758389261744966,25.0,-23.490447536912747,-12.841171738255033,-23.59988223489933,-0.1342234051136913,0.6987143660134227,9.72489574832215,0.00491570754053691,-0.0007517641660805364,0.001096877493758389,-0.07168497787726003,0.013527196462050469,2.0088585487148105,1015.0144645637585,-71.0,-60.0,-100.0,-100.0,-100.0,-78.0,-100.0,-76.0,-100.0,-73.0,-100.0,-72.0,-59.0,-73.0,-100.0,-61.0,-72.0,-100.0,-93.0,-100.0,-93.0,-100.0,-100.0,-72.0,-100.0,-100.0,-61.0,-100.0,-72.0,-100.0,-82.0,-100.0,-100.0,-70.0,-81.0,-58.0,-100.0,-100.0,-52.0,-87.0,-90.0,-100.0,-100.0,-100.0,-68.0,-80.0,-88.0,-84.0,-67.0,-81.0,-69.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 162604,28.0,25.0,-26.263918564814816,-10.45926714814815,-22.1884225,0.09558718143981482,0.5638270515740741,9.751487643518518,0.005142863765,-0.0024627230548148146,-0.002830707414444444,-0.057797776793854054,-0.009766231263643834,1.9084056814511616,1015.055293333333,-70.0,-61.0,-100.0,-100.0,-100.0,-80.0,-100.0,-77.0,-100.0,-71.0,-100.0,-100.0,-61.0,-83.0,-100.0,-64.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-89.0,-84.0,-100.0,-80.0,-84.0,-64.0,-78.0,-100.0,-52.0,-90.0,-86.0,-100.0,-100.0,-100.0,-65.0,-100.0,-92.0,-79.0,-65.0,-100.0,-69.0,-100.0,-81.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-59.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-80.0,-81.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
