Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:08:9f:7c:21:44,00:1a:ee:a0:de:01,00:1a:ee:a0:de:02,00:1a:ee:a0:de:07,00:1a:ee:a0:de:19,00:1a:ee:a0:de:37,00:1a:ee:a0:de:44,00:1a:ee:a0:de:54,00:1a:ee:a0:de:78,00:1a:ee:a0:de:84,00:1a:ee:a0:de:86,00:1a:ee:a0:df:01,00:1a:ee:a0:df:04,00:1a:ee:a0:df:06,00:1a:ee:a0:df:08,00:1a:ee:a0:df:13,00:1a:ee:a0:df:16,00:1a:ee:a0:df:19,00:1a:ee:a0:df:20,00:1a:ee:a0:de:16,00:1a:ee:a0:de:52,00:1a:ee:a0:de:99,00:1a:ee:a0:df:05,00:1a:ee:a0:de:17,00:1a:ee:a0:de:22,00:1a:ee:a0:de:36,00:1a:ee:a0:de:43,00:1a:ee:a0:de:53,00:1a:ee:a0:de:58,00:1a:ee:a0:de:61,00:1a:ee:a0:de:65,00:1a:ee:a0:de:71,00:1a:ee:a0:de:77,00:1a:ee:a0:de:95,00:1a:ee:a0:de:97,00:1a:ee:a0:df:02,00:1a:ee:a0:df:07,00:1a:ee:a0:df:09,00:1a:ee:a0:df:14,00:1a:ee:a0:df:18,00:1a:ee:a0:df:31,00:1a:ee:a0:df:42,00:1a:ee:a0:df:43,00:1a:ee:a0:df:44,00:1a:ee:a0:de:85,00:1a:ee:a0:de:15,00:1a:ee:a0:de:70,00:1a:ee:a0:de:90,00:1a:ee:a0:df:17,00:1a:ee:a0:de:03,00:1a:ee:a0:de:05,00:1a:ee:a0:de:08,00:1a:ee:a0:de:18,00:1a:ee:a0:de:20,00:1a:ee:a0:de:21,00:1a:ee:a0:de:29,00:1a:ee:a0:de:30,00:1a:ee:a0:de:33,00:1a:ee:a0:de:48,00:1a:ee:a0:de:51,00:1a:ee:a0:de:60,00:1a:ee:a0:de:62,00:1a:ee:a0:de:72,00:1a:ee:a0:de:74,00:1a:ee:a0:de:76,00:1a:ee:a0:de:80,00:1a:ee:a0:de:10,00:1a:ee:a0:de:11,00:1a:ee:a0:de:12,00:1a:ee:a0:de:63,00:1a:ee:a0:de:81,00:1a:ee:a0:de:40,00:1a:ee:a0:de:91,00:1a:ee:a0:de:31,00:1a:ee:a0:de:82,00:1a:ee:a0:df:23,00:1a:ee:a0:df:35,00:1a:ee:a0:de:23,00:1a:ee:a0:de:55,00:1a:ee:a0:de:67,00:1a:ee:a0:de:93,00:1a:ee:a0:de:94,00:1a:ee:a0:df:15,00:1a:ee:a0:df:21,00:1a:ee:a0:df:27,00:1a:ee:a0:df:33,00:1a:ee:a0:df:39,00:1a:ee:a0:de:64,00:1a:ee:a0:de:46,00:1a:ee:a0:de:68,00:1a:ee:a0:df:03,00:1a:ee:a0:df:11,00:1a:ee:a0:de:69,00:1a:ee:a0:de:04,00:1a:ee:a0:de:39,00:1a:ee:a0:de:47,00:1a:ee:a0:de:79,00:1a:ee:a0:de:87,00:1a:ee:a0:de:56,00:1a:ee:a0:de:89,00:1a:ee:a0:de:13,00:1a:ee:a0:df:25,00:1a:ee:a0:df:22,00:1a:ee:a0:df:34,00:1a:ee:a0:df:37,00:1a:ee:a0:df:38,00:1a:ee:a0:de:35,00:1a:ee:a0:de:42,00:1a:ee:a0:df:29,00:1a:ee:a0:df:41,00:1a:ee:a0:de:28
2021.02.11 163553,44.0,36.0,-0.29008694347826086,-34.93773870434783,-25.352347478260878,-0.02854391968695652,0.6913832848695654,9.664937943478261,0.0015934553711304353,-0.002772159713217392,0.003957716365913045,-0.07140933832396629,0.002961335990466576,0.7811642688253652,1016.5531334782609,-69.0,-69.0,-66.0,-77.0,-72.0,-87.0,-87.0,-88.0,-76.0,-69.0,-82.0,-58.0,-83.0,-70.0,-73.0,-91.0,-70.0,-76.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163604,44.0,35.0,1.4019642749999999,-33.96267810714285,-24.333749785714286,0.1597323320339286,0.8998411552678572,9.654528303571428,-0.0008812603508928568,-0.0037761506666071434,0.0036947311321428567,-0.09305282023602295,-0.016502294768153108,-2.8601106511695042,1016.5432490178573,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-91.0,-100.0,-100.0,-66.0,-100.0,-68.0,-60.0,-87.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163616,44.0,34.0,3.617837772072072,-32.10918883783784,-23.650269972972975,0.08988237050450451,0.7956326177477479,9.65330623873874,-0.002236691194594595,-0.002321464063243243,-0.0005437362045045043,-0.0822613039934957,-0.009302837658659862,-3.0148386117574333,1016.5418746846844,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-73.0,-69.0,-84.0,-67.0,-58.0,-100.0,-100.0,-83.0,-67.0,-89.0,-87.0,-90.0,-88.0,-80.0,-77.0,-81.0,-84.0,-82.0,-83.0,-70.0,-85.0,-83.0,-63.0,-92.0,-86.0,-89.0,-91.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163629,44.0,33.0,7.261999849166667,-26.239999649999998,-19.447499666666666,-0.038009112836666664,0.7205370519166666,9.6480495875,-0.0018619173855000005,0.0003642792559999999,0.0035285613778333336,-0.07458851601307588,0.0039764603691433325,-2.8590602298577625,1016.531269,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-72.0,-78.0,-71.0,-56.0,-100.0,-89.0,-86.0,-100.0,-100.0,-100.0,-90.0,-100.0,-78.0,-77.0,-78.0,-88.0,-81.0,-100.0,-73.0,-89.0,-100.0,-63.0,-100.0,-87.0,-100.0,-100.0,-89.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163756,44.0,25.0,1.607478236521739,-41.01391260869565,-35.66556488695652,0.06424984512,0.7206559013043479,9.670309373913044,-0.000552540944347826,-0.000328698710956522,-5.274688504347816e-05,-0.07450653564022931,-0.006649405694497442,-3.0387628928474757,1016.4718699130435,-78.0,-79.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-82.0,-70.0,-100.0,-100.0,-91.0,-84.0,-71.0,-67.0,-100.0,-66.0,-57.0,-100.0,-90.0,-100.0,-66.0,-89.0,-89.0,-90.0,-100.0,-71.0,-80.0,-82.0,-84.0,-84.0,-89.0,-68.0,-88.0,-80.0,-61.0,-100.0,-88.0,-100.0,-100.0,-89.0,-100.0,-86.0,-91.0,-78.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163808,43.0,25.0,-42.67562983193277,-18.128571184873945,-37.96537757983194,0.07206968407058822,0.626334243277311,9.646392407563026,0.0005461239386554623,0.00013896923647058833,0.005533422736638656,-0.06491029744639111,-0.007366321473353846,1.923552238640665,1016.4640554621848,-72.0,-76.0,-100.0,-73.0,-80.0,-87.0,-88.0,-100.0,-82.0,-79.0,-82.0,-71.0,-91.0,-75.0,-100.0,-81.0,-68.0,-77.0,-100.0,-50.0,-48.0,-100.0,-79.0,-100.0,-52.0,-75.0,-76.0,-100.0,-100.0,-73.0,-100.0,-75.0,-78.0,-71.0,-100.0,-100.0,-100.0,-83.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-75.0,-81.0,-82.0,-82.0,-79.0,-78.0,-80.0,-84.0,-85.0,-79.0,-82.0,-72.0,-88.0,-79.0,-71.0,-73.0,-90.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163819,42.0,25.0,-38.35736788596491,-20.08736812280702,-38.34210492105263,0.0791160805491228,0.6571024185087719,9.695405815789474,0.00026325084333333353,0.002157490259122807,0.001172711255964913,-0.06769894569981513,-0.008135249751626506,2.0003876518784907,1016.4561566666666,-100.0,-64.0,-100.0,-75.0,-74.0,-91.0,-100.0,-100.0,-84.0,-77.0,-100.0,-72.0,-87.0,-72.0,-78.0,-89.0,-69.0,-77.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-73.0,-78.0,-90.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163829,41.0,25.0,-33.52741883870968,-17.597419241935487,-38.75854780645162,0.08385754413387098,0.5095750507258066,9.68563325403226,-0.003706336168709677,-0.0022635906880645166,-0.002748735806612903,-0.05262690899713381,-0.00868668863058385,2.0082640128750957,1016.4548051612902,-100.0,-100.0,-66.0,-74.0,-100.0,-91.0,-100.0,-100.0,-83.0,-69.0,-74.0,-59.0,-100.0,-70.0,-100.0,-88.0,-67.0,-100.0,-100.0,-56.0,-63.0,-100.0,-84.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-78.0,-100.0,-82.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-72.0,-89.0,-100.0,-64.0,-100.0,-91.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-80.0,-89.0,-100.0,-92.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 164004,32.0,25.0,-31.750908570247933,-13.263470801652891,-31.16082602479339,0.08742071165785124,0.47756878157851246,9.669110611570247,-0.0011758296682644633,-0.0019484682429752067,0.00390437813553719,-0.04936509466660781,-0.009068320772306557,1.926924606985297,1016.4238042148761,-63.0,-63.0,-66.0,-100.0,-76.0,-91.0,-91.0,-100.0,-83.0,-74.0,-100.0,-55.0,-81.0,-100.0,-77.0,-100.0,-74.0,-71.0,-100.0,-63.0,-73.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-62.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-74.0,-100.0,-76.0,-91.0,-82.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 164015,31.0,25.0,-32.617894228070185,-11.859473442982456,-30.919473324561398,0.1077423659614035,0.3161702889824562,9.673017271929824,-0.00020293570245614038,-0.001893510702280702,0.0002832058426315789,-0.03266935809433717,-0.011166116178317542,1.8946640669253834,1016.4228804385965,-74.0,-72.0,-100.0,-80.0,-79.0,-100.0,-100.0,-79.0,-87.0,-64.0,-100.0,-100.0,-78.0,-67.0,-73.0,-100.0,-78.0,-100.0,-76.0,-64.0,-73.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-80.0,-84.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-60.0,-86.0,-78.0,-90.0,-100.0,-66.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-70.0,-74.0,-79.0,-91.0,-72.0,-100.0,-72.0,-100.0,-79.0,-100.0,-100.0,-64.0,-85.0,-76.0,-72.0,-83.0,-85.0,-80.0,-90.0,-86.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 164025,30.0,25.0,-32.19052596491228,-12.500526065789476,-31.23736810526316,0.022220550238596492,0.49502681688596495,9.655270188596491,-9.040802263157891e-05,-0.0029223362156140355,0.0021372354689473687,-0.05130260077145828,-0.0021787064361008185,1.8975354182092767,1016.4160510526317,-72.0,-72.0,-61.0,-100.0,-73.0,-100.0,-100.0,-79.0,-88.0,-72.0,-100.0,-100.0,-75.0,-67.0,-82.0,-100.0,-100.0,-100.0,-78.0,-74.0,-84.0,-100.0,-75.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-85.0,-78.0,-82.0,-100.0,-82.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-73.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-67.0,-100.0,-100.0,-77.0,-100.0,-78.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
