Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ia:ct:de:06,00:1a:ia:ct:de:07,00:1a:ia:ct:de:09,00:1a:ia:ct:de:10,00:1a:ia:ct:de:16,00:1a:ia:ct:de:18,00:1a:ia:ct:de:19,00:1a:ia:ct:de:23,00:1a:ia:ct:de:24,00:1a:ia:ct:de:29,00:1a:ia:ct:de:30,00:1a:ia:ct:de:31,00:1a:ia:ct:de:32,00:1a:ia:ct:de:40,00:1a:ia:ct:de:47,00:1a:ia:ct:de:62,00:1a:ia:ct:de:63,00:1a:ia:ct:de:65,00:1a:ia:ct:de:68,00:1a:ia:ct:de:69,00:1a:ia:ct:de:70,00:1a:ia:ct:de:71,00:1a:ia:ct:de:72,00:1a:ia:ct:de:74,00:1a:ia:ct:de:75,00:1a:ia:ct:de:76,00:1a:ia:ct:de:77,00:1a:ia:ct:de:78,00:1a:ia:ct:de:80,00:1a:ia:ct:de:82,00:1a:ia:ct:de:83,00:1a:ia:ct:de:84,00:1a:ia:ct:de:85,00:1a:ia:ct:de:86,00:1a:ia:ct:de:87,00:1a:ia:ct:de:89,00:1a:ia:ct:de:90,00:1a:ia:ct:de:91,00:1a:ia:ct:de:92,00:1a:ia:ct:de:93,00:1a:ia:ct:de:94,00:1a:ia:ct:de:95,00:1a:ia:ct:de:96,00:1a:ia:ct:de:97,00:1a:ia:ct:de:98,00:1a:ia:ct:df:01,00:1a:ia:ct:df:02,00:1a:ia:ct:df:03,00:1a:ia:ct:df:04,00:1a:ia:ct:df:05,00:1a:ia:ct:df:06,00:1a:ia:ct:df:07,00:1a:ia:ct:df:08,00:1a:ia:ct:df:09,00:1a:ia:ct:df:11,00:1a:ia:ct:df:12,00:1a:ia:ct:df:13,00:1a:ia:ct:de:36,00:1a:ia:ct:de:39,00:1a:ia:ct:de:46,00:1a:ia:ct:de:64,00:1a:ia:ct:de:66,00:1a:ia:ct:de:67,00:1a:ia:ct:de:79,00:1a:ia:ct:de:81,00:1a:ia:ct:de:99,00:1a:ia:ct:df:10,00:1a:ia:ct:df:15,94:f6:65:00:06:7c,00:1a:ia:ct:de:44,00:1a:ia:ct:de:17,00:1a:ia:ct:de:58,00:1a:ia:ct:de:59,00:1a:ia:ct:de:35,00:1a:ia:ct:de:57,00:1a:ia:ct:df:14,50:64:2b:74:9e:a9,00:23:eb:22:cc:77,88:3c:1c:7c:d0:74,00:1a:ia:ct:de:73,00:1a:ia:ct:de:88,00:25:a6:ba:e3:64,00:1a:ia:ct:de:51,00:1a:ia:ct:de:05,00:1a:ia:ct:de:12,00:1a:ia:ct:de:26,00:1a:ia:ct:de:33,00:1a:ia:ct:de:41,00:1a:ia:ct:de:49,00:1a:ia:ct:de:53,00:1a:ia:ct:de:54,00:1a:ia:ct:de:13,00:1a:ia:ct:de:21,00:1a:ia:ct:de:27,00:1a:ia:ct:de:34,00:1a:ia:ct:de:50,00:1a:ia:ct:de:22,00:1a:ia:ct:de:38,00:1a:ia:ct:de:08,00:1a:ia:ct:de:15,00:1a:ia:ct:de:55,00:1a:ia:ct:df:17,00:1a:ia:ct:de:14,00:1a:ia:ct:de:20,00:1a:ia:ct:de:28,00:1a:ia:ct:de:45,00:1a:ia:ct:de:56,00:1a:ia:ct:de:42,00:1a:ia:ct:de:61,00:1a:ia:ct:de:48,00:1a:ia:ct:de:60
2021.02.12 112947,7.0,18.0,15.74548678125,-40.4666318125,-29.701468901785713,-0.11943429834151785,0.7446752147321428,9.74171352232143,0.0005715814763571423,-0.0036092712821875006,0.0012438633970624998,-0.07631087828693642,0.01230058016277062,-2.757684907742909,1016.7357851785715,-87.0,-81.0,-76.0,-89.0,-79.0,-53.0,-66.0,-76.0,-87.0,-79.0,-93.0,-53.0,-68.0,-73.0,-79.0,-72.0,-75.0,-72.0,-49.0,-71.0,-50.0,-68.0,-78.0,-64.0,-81.0,-42.0,-68.0,-76.0,-70.0,-81.0,-49.0,-71.0,-51.0,-69.0,-79.0,-64.0,-81.0,-42.0,-69.0,-41.0,-56.0,-59.0,-76.0,-51.0,-71.0,-79.0,-59.0,-81.0,-42.0,-57.0,-59.0,-77.0,-49.0,-72.0,-78.0,-60.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 112959,7.0,17.0,13.291655135964914,-39.304075973684206,-27.581763763157895,-0.21312748292982453,0.7193264214035087,9.738015885964911,0.000225427562982456,-0.002011947102315789,-0.0013659986318421049,-0.07372295833601238,0.021874760296971805,-2.8125190462982443,1016.734225526316,-82.0,-86.0,-81.0,-87.0,-83.0,-62.0,-58.0,-80.0,-86.0,-82.0,-100.0,-61.0,-58.0,-100.0,-100.0,-80.0,-81.0,-100.0,-57.0,-60.0,-59.0,-65.0,-83.0,-73.0,-79.0,-54.0,-54.0,-81.0,-100.0,-89.0,-57.0,-61.0,-58.0,-66.0,-84.0,-73.0,-79.0,-55.0,-54.0,-41.0,-43.0,-70.0,-72.0,-63.0,-68.0,-75.0,-61.0,-74.0,-41.0,-43.0,-70.0,-71.0,-63.0,-68.0,-76.0,-61.0,-74.0,-89.0,-85.0,-85.0,-86.0,-85.0,-89.0,-85.0,-86.0,-68.0,-68.0,-75.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113012,7.0,16.0,11.3366890990991,-35.374909981981986,-25.27095851351351,-0.19463145416216215,0.3857449312612614,9.764603639639637,0.0020324056742342337,-0.003213466382882883,-0.008510629337477479,-0.03949473877143748,0.019939440277379865,-2.836099747064951,1016.7332795495495,-79.0,-82.0,-73.0,-86.0,-75.0,-56.0,-60.0,-75.0,-87.0,-75.0,-100.0,-55.0,-60.0,-100.0,-100.0,-100.0,-80.0,-79.0,-64.0,-66.0,-59.0,-64.0,-82.0,-70.0,-77.0,-52.0,-62.0,-81.0,-79.0,-100.0,-64.0,-65.0,-43.0,-64.0,-83.0,-70.0,-78.0,-50.0,-62.0,-42.0,-46.0,-68.0,-74.0,-63.0,-62.0,-72.0,-60.0,-74.0,-40.0,-46.0,-68.0,-74.0,-63.0,-63.0,-73.0,-59.0,-75.0,-100.0,-87.0,-100.0,-91.0,-85.0,-100.0,-91.0,-86.0,-71.0,-71.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113027,7.0,15.0,7.160938531496064,-32.158418748031494,-23.122754055118108,-0.16457843636220473,0.5453178500000002,9.75308627952756,0.0026331230710551186,-0.0009364772961023622,-0.002445772072755906,-0.055869175766514,0.016897749433048226,-2.9253275976406306,1016.7292969291342,-88.0,-76.0,-72.0,-100.0,-80.0,-46.0,-62.0,-71.0,-100.0,-80.0,-100.0,-45.0,-61.0,-74.0,-100.0,-72.0,-77.0,-62.0,-63.0,-82.0,-52.0,-74.0,-80.0,-65.0,-77.0,-43.0,-62.0,-74.0,-65.0,-100.0,-64.0,-81.0,-52.0,-74.0,-78.0,-66.0,-79.0,-44.0,-64.0,-36.0,-54.0,-54.0,-70.0,-53.0,-71.0,-76.0,-57.0,-76.0,-36.0,-55.0,-55.0,-71.0,-54.0,-71.0,-77.0,-57.0,-76.0,-100.0,-100.0,-100.0,-100.0,-91.0,-80.0,-100.0,-100.0,-62.0,-69.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113125,7.0,11.0,8.855562159322034,-23.697895855932206,-39.001415762711865,-0.27243762892372886,0.4564637801694915,9.75590379661017,0.0009613351640677964,-0.0038020917088983047,0.002855093243915255,-0.04675471302816419,0.02792709650692794,-2.799963736938218,1016.7198740677966,-89.0,-100.0,-89.0,-100.0,-100.0,-55.0,-58.0,-100.0,-100.0,-79.0,-85.0,-54.0,-58.0,-100.0,-85.0,-83.0,-87.0,-66.0,-80.0,-83.0,-62.0,-70.0,-88.0,-75.0,-83.0,-59.0,-68.0,-100.0,-66.0,-100.0,-81.0,-83.0,-62.0,-70.0,-100.0,-76.0,-83.0,-59.0,-68.0,-56.0,-57.0,-65.0,-74.0,-69.0,-72.0,-80.0,-65.0,-76.0,-56.0,-57.0,-65.0,-74.0,-69.0,-72.0,-81.0,-65.0,-76.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-85.0,-72.0,-72.0,-85.0,-100.0,-90.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113141,7.0,10.0,7.606129110526315,-33.56497386842105,-40.511625517543855,-0.25266210543859646,0.6308848133333333,9.745762925438598,0.000774049357982456,-0.0028162440639824564,0.004408631611754385,-0.06464012218802641,0.025926644934275912,-2.932405287759346,1016.71234,-82.0,-100.0,-85.0,-100.0,-69.0,-55.0,-58.0,-86.0,-100.0,-100.0,-75.0,-55.0,-58.0,-100.0,-81.0,-78.0,-83.0,-68.0,-70.0,-76.0,-59.0,-62.0,-81.0,-72.0,-75.0,-59.0,-67.0,-83.0,-68.0,-100.0,-70.0,-76.0,-59.0,-62.0,-81.0,-72.0,-75.0,-60.0,-67.0,-49.0,-57.0,-67.0,-76.0,-66.0,-69.0,-72.0,-62.0,-74.0,-49.0,-59.0,-66.0,-75.0,-66.0,-69.0,-72.0,-62.0,-75.0,-88.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-84.0,-68.0,-68.0,-80.0,-100.0,-91.0,-75.0,-94.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113201,8.0,10.0,32.05592299999999,-12.191236552173915,-39.212200617391304,-0.4035637316521739,0.5975646879130436,9.73880134347826,0.0022701453933043473,-0.002331179835217391,-0.003799086370173913,-0.06124994800142617,0.04143630590127858,-1.8791393736134405,1016.7126660869566,-90.0,-77.0,-75.0,-100.0,-68.0,-100.0,-64.0,-100.0,-100.0,-69.0,-88.0,-100.0,-64.0,-73.0,-76.0,-69.0,-74.0,-61.0,-57.0,-77.0,-52.0,-66.0,-100.0,-62.0,-82.0,-53.0,-73.0,-76.0,-57.0,-80.0,-57.0,-78.0,-49.0,-66.0,-100.0,-62.0,-83.0,-55.0,-73.0,-57.0,-67.0,-57.0,-69.0,-55.0,-73.0,-75.0,-55.0,-78.0,-58.0,-66.0,-56.0,-71.0,-54.0,-72.0,-75.0,-56.0,-78.0,-100.0,-100.0,-100.0,-100.0,-88.0,-81.0,-100.0,-88.0,-57.0,-58.0,-100.0,-100.0,-81.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113214,9.0,10.0,30.35937819469027,-10.272639336283188,-36.26858730088496,-0.3206305133982301,0.611808607522124,9.738289805309735,0.0039910281406637165,-0.0009541061878230089,-0.0009350867642035397,-0.06271255299844568,0.03293907000328846,-1.8359700188172603,1016.7125094690266,-87.0,-80.0,-86.0,-100.0,-67.0,-63.0,-60.0,-86.0,-100.0,-66.0,-76.0,-62.0,-60.0,-83.0,-78.0,-77.0,-79.0,-66.0,-71.0,-76.0,-57.0,-62.0,-80.0,-68.0,-77.0,-56.0,-67.0,-79.0,-66.0,-90.0,-71.0,-76.0,-58.0,-62.0,-84.0,-70.0,-77.0,-55.0,-67.0,-51.0,-64.0,-61.0,-69.0,-61.0,-69.0,-70.0,-59.0,-70.0,-51.0,-64.0,-60.0,-70.0,-61.0,-69.0,-71.0,-58.0,-70.0,-100.0,-100.0,-100.0,-100.0,-82.0,-88.0,-100.0,-82.0,-61.0,-62.0,-80.0,-100.0,-92.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113225,10.0,10.0,29.486985090909098,-6.906594010909091,-35.569232436363635,-0.25355943605454545,0.4741786578181819,9.751879495454544,0.0024541195027818177,-0.0005162755513636365,-0.003623076987818182,-0.04857186434621157,0.0259797913678498,-1.748573525385423,1016.7117062727273,-84.0,-83.0,-85.0,-100.0,-61.0,-63.0,-62.0,-100.0,-100.0,-61.0,-78.0,-62.0,-62.0,-80.0,-82.0,-80.0,-84.0,-71.0,-68.0,-75.0,-53.0,-62.0,-86.0,-69.0,-73.0,-50.0,-71.0,-100.0,-70.0,-87.0,-70.0,-76.0,-52.0,-62.0,-85.0,-69.0,-73.0,-49.0,-71.0,-58.0,-63.0,-60.0,-71.0,-62.0,-66.0,-61.0,-56.0,-63.0,-57.0,-62.0,-60.0,-71.0,-63.0,-66.0,-61.0,-57.0,-62.0,-89.0,-100.0,-100.0,-100.0,-81.0,-87.0,-100.0,-82.0,-63.0,-65.0,-80.0,-100.0,-100.0,-78.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113237,11.0,10.0,28.733774684684683,-5.8973186126126125,-37.19756484684685,-0.25363748114414414,0.716700700990991,9.739367247747749,0.00557306715863063,-0.0015891890329729728,-0.00035932277726126086,-0.07348525107980845,0.026079765860796734,-1.6817965754517563,1016.7078736036036,-86.0,-75.0,-69.0,-100.0,-60.0,-53.0,-70.0,-67.0,-100.0,-59.0,-87.0,-53.0,-71.0,-75.0,-100.0,-68.0,-100.0,-62.0,-59.0,-73.0,-48.0,-67.0,-73.0,-60.0,-74.0,-48.0,-67.0,-74.0,-100.0,-78.0,-60.0,-76.0,-51.0,-67.0,-75.0,-60.0,-74.0,-48.0,-67.0,-46.0,-61.0,-53.0,-68.0,-57.0,-66.0,-69.0,-45.0,-75.0,-46.0,-61.0,-54.0,-68.0,-56.0,-68.0,-69.0,-45.0,-74.0,-100.0,-100.0,-100.0,-100.0,-86.0,-80.0,-100.0,-85.0,-55.0,-55.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113249,12.0,10.0,29.342416852173915,-5.452121515652175,-36.68264507826086,-0.3116957586086957,0.4439922475652174,9.747677647826087,0.0075519070047826075,-0.000913863278869565,-0.0020961663806434772,-0.045483937843338255,0.03197161567437903,-1.7026797398276952,1016.7143046956523,-78.0,-86.0,-86.0,-100.0,-66.0,-66.0,-69.0,-86.0,-100.0,-66.0,-76.0,-66.0,-69.0,-100.0,-100.0,-74.0,-78.0,-68.0,-62.0,-75.0,-56.0,-62.0,-79.0,-66.0,-67.0,-51.0,-63.0,-79.0,-68.0,-85.0,-62.0,-75.0,-56.0,-62.0,-81.0,-66.0,-68.0,-52.0,-63.0,-51.0,-55.0,-59.0,-68.0,-56.0,-63.0,-69.0,-51.0,-64.0,-50.0,-56.0,-59.0,-69.0,-56.0,-63.0,-69.0,-51.0,-64.0,-90.0,-100.0,-100.0,-100.0,-80.0,-86.0,-100.0,-81.0,-62.0,-62.0,-78.0,-100.0,-100.0,-76.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113302,13.0,10.0,27.721669765765768,-6.647940018018019,-29.412498063063065,-0.24428916582612611,0.6347447022522523,9.745956355855858,0.007215413825585586,-0.0020404654086846846,0.0015365573534594594,-0.06505644338222233,0.025080644021645518,-1.7423666951892611,1016.71750954955,-82.0,-72.0,-84.0,-86.0,-69.0,-59.0,-70.0,-82.0,-86.0,-69.0,-78.0,-58.0,-70.0,-100.0,-74.0,-70.0,-79.0,-60.0,-69.0,-69.0,-55.0,-62.0,-81.0,-68.0,-73.0,-49.0,-50.0,-79.0,-61.0,-87.0,-70.0,-70.0,-56.0,-62.0,-81.0,-66.0,-73.0,-48.0,-50.0,-45.0,-54.0,-61.0,-66.0,-60.0,-62.0,-66.0,-54.0,-63.0,-44.0,-54.0,-61.0,-66.0,-60.0,-62.0,-67.0,-54.0,-64.0,-87.0,-100.0,-100.0,-88.0,-81.0,-100.0,-88.0,-81.0,-65.0,-65.0,-73.0,-100.0,-100.0,-77.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113319,13.0,11.0,7.860195352631579,13.078745013157896,-34.63553413157895,-0.3859330721052631,0.6018657564912282,9.741244315789475,0.003781064388333333,0.000579950498157895,-0.005946078724035087,-0.06168244213780808,0.039611585078793615,-0.4030938694874446,1016.7052013157895,-85.0,-79.0,-81.0,-86.0,-66.0,-66.0,-65.0,-77.0,-88.0,-100.0,-76.0,-63.0,-66.0,-84.0,-100.0,-70.0,-75.0,-67.0,-63.0,-72.0,-50.0,-58.0,-82.0,-67.0,-67.0,-42.0,-49.0,-76.0,-67.0,-88.0,-63.0,-72.0,-50.0,-58.0,-81.0,-67.0,-67.0,-42.0,-49.0,-44.0,-52.0,-57.0,-66.0,-61.0,-54.0,-70.0,-59.0,-63.0,-44.0,-53.0,-57.0,-65.0,-61.0,-54.0,-70.0,-59.0,-63.0,-84.0,-100.0,-100.0,-88.0,-77.0,-85.0,-89.0,-77.0,-66.0,-66.0,-100.0,-100.0,-100.0,-76.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113331,13.0,12.0,-0.117482695005,17.666181266666666,-34.732757875,-0.3713802806666667,0.6922263021666667,9.738266004166666,0.00456611216125,6.3179677500000555e-06,-0.004297366876083333,-0.07092645447701211,0.03813030068607375,0.07194935282944542,1016.7055593333333,-88.0,-100.0,-83.0,-100.0,-100.0,-62.0,-67.0,-83.0,-100.0,-81.0,-79.0,-64.0,-67.0,-100.0,-77.0,-72.0,-100.0,-60.0,-64.0,-74.0,-54.0,-58.0,-83.0,-58.0,-70.0,-44.0,-53.0,-82.0,-60.0,-100.0,-65.0,-74.0,-53.0,-58.0,-84.0,-58.0,-70.0,-44.0,-53.0,-46.0,-59.0,-60.0,-74.0,-54.0,-58.0,-69.0,-58.0,-62.0,-45.0,-58.0,-59.0,-74.0,-53.0,-58.0,-69.0,-59.0,-62.0,-84.0,-84.0,-84.0,-100.0,-76.0,-100.0,-100.0,-76.0,-69.0,-68.0,-78.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113343,13.0,13.0,-0.9678570161160714,15.441531808035714,-33.68945623214286,-0.2499108240714286,0.4829794539285714,9.754911964285714,0.002671258661357143,-0.000932376874205357,-0.003559402072767857,-0.049475802341476034,0.025598426673760857,0.10671093467057546,1016.7091420535713,-84.0,-85.0,-84.0,-100.0,-71.0,-100.0,-79.0,-83.0,-100.0,-70.0,-84.0,-65.0,-79.0,-78.0,-100.0,-78.0,-83.0,-62.0,-68.0,-72.0,-52.0,-58.0,-87.0,-68.0,-75.0,-43.0,-49.0,-83.0,-62.0,-90.0,-68.0,-72.0,-52.0,-58.0,-90.0,-68.0,-75.0,-45.0,-49.0,-46.0,-60.0,-63.0,-70.0,-53.0,-56.0,-73.0,-59.0,-63.0,-45.0,-60.0,-63.0,-70.0,-53.0,-56.0,-73.0,-59.0,-63.0,-88.0,-100.0,-100.0,-91.0,-78.0,-90.0,-91.0,-78.0,-68.0,-68.0,-75.0,-100.0,-100.0,-83.0,-100.0,-100.0,-80.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113354,13.0,14.0,-1.8457007620353982,15.219637615044247,-36.91922829203539,-0.3160820135752212,0.4433242730973451,9.75031027876106,-0.0025932137845132743,-0.004294555138548672,-0.006628797241858408,-0.04541477107698406,0.03238883788287388,0.17815174721181393,1016.704664336283,-89.0,-89.0,-85.0,-100.0,-78.0,-63.0,-75.0,-85.0,-100.0,-78.0,-79.0,-63.0,-75.0,-89.0,-80.0,-79.0,-83.0,-66.0,-68.0,-67.0,-53.0,-59.0,-82.0,-66.0,-70.0,-51.0,-60.0,-83.0,-66.0,-90.0,-68.0,-67.0,-53.0,-59.0,-83.0,-67.0,-70.0,-51.0,-60.0,-40.0,-58.0,-63.0,-67.0,-55.0,-56.0,-71.0,-50.0,-66.0,-40.0,-58.0,-62.0,-67.0,-55.0,-56.0,-71.0,-50.0,-66.0,-88.0,-100.0,-100.0,-100.0,-79.0,-91.0,-100.0,-79.0,-69.0,-69.0,-100.0,-100.0,-100.0,-79.0,-100.0,-88.0,-85.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
