Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ia:ct:de:06,00:1a:ia:ct:de:09,00:1a:ia:ct:de:10,00:1a:ia:ct:de:16,00:1a:ia:ct:de:17,00:1a:ia:ct:de:18,00:1a:ia:ct:de:19,00:1a:ia:ct:de:23,00:1a:ia:ct:de:24,00:1a:ia:ct:de:29,00:1a:ia:ct:de:30,00:1a:ia:ct:de:31,00:1a:ia:ct:de:32,00:1a:ia:ct:de:36,00:1a:ia:ct:de:39,00:1a:ia:ct:de:40,00:1a:ia:ct:de:44,00:1a:ia:ct:de:46,00:1a:ia:ct:de:47,00:1a:ia:ct:de:62,00:1a:ia:ct:de:63,00:1a:ia:ct:de:64,00:1a:ia:ct:de:65,00:1a:ia:ct:de:66,00:1a:ia:ct:de:67,00:1a:ia:ct:de:68,00:1a:ia:ct:de:69,00:1a:ia:ct:de:70,00:1a:ia:ct:de:71,00:1a:ia:ct:de:72,00:1a:ia:ct:de:74,00:1a:ia:ct:de:75,00:1a:ia:ct:de:76,00:1a:ia:ct:de:77,00:1a:ia:ct:de:78,00:1a:ia:ct:de:79,00:1a:ia:ct:de:80,00:1a:ia:ct:de:81,00:1a:ia:ct:de:82,00:1a:ia:ct:de:83,00:1a:ia:ct:de:84,00:1a:ia:ct:de:85,00:1a:ia:ct:de:86,00:1a:ia:ct:de:87,00:1a:ia:ct:de:89,00:1a:ia:ct:de:90,00:1a:ia:ct:de:91,00:1a:ia:ct:de:92,00:1a:ia:ct:de:93,00:1a:ia:ct:de:94,00:1a:ia:ct:de:95,00:1a:ia:ct:de:96,00:1a:ia:ct:de:97,00:1a:ia:ct:de:98,00:1a:ia:ct:de:99,00:1a:ia:ct:df:01,00:1a:ia:ct:df:02,00:1a:ia:ct:df:03,00:1a:ia:ct:df:04,00:1a:ia:ct:df:05,00:1a:ia:ct:df:06,00:1a:ia:ct:df:07,00:1a:ia:ct:df:08,00:1a:ia:ct:df:09,00:1a:ia:ct:df:10,00:1a:ia:ct:df:11,00:1a:ia:ct:df:12,00:1a:ia:ct:df:13,00:1a:ia:ct:df:15,00:1a:ia:ct:de:07,94:f6:65:00:06:7c,88:57:1d:0b:2b:53,00:1a:ia:ct:de:58,00:1a:ia:ct:de:59,00:1a:ia:ct:de:35,00:1a:ia:ct:df:14,00:1a:ia:ct:de:57,00:1a:ia:ct:de:73,00:1a:ia:ct:de:88,88:3c:1c:7c:d0:74,00:23:eb:22:cc:77,50:64:2b:74:9e:a9,94:f6:65:40:06:7c,00:1a:ia:ct:de:51,00:1a:ia:ct:de:21,00:1a:ia:ct:de:34,00:1a:ia:ct:de:53,00:1a:ia:ct:de:05,00:1a:ia:ct:de:12,00:1a:ia:ct:de:13,00:1a:ia:ct:de:26,00:1a:ia:ct:de:27,00:1a:ia:ct:de:33,00:1a:ia:ct:de:50,00:1a:ia:ct:de:38,00:1a:ia:ct:df:16,00:1a:ia:ct:df:17,00:1a:ia:ct:de:41,00:1a:ia:ct:de:14,00:1a:ia:ct:de:20,00:1a:ia:ct:de:28,00:1a:ia:ct:de:45,00:1a:ia:ct:de:56,00:1a:ia:ct:de:42,00:1a:ia:ct:de:54,00:1a:ia:ct:de:61
2021.02.12 112946,7.0,18.0,9.852212194690265,-34.44477823893805,-27.491150141592918,-0.20878923938053098,0.46682002221238944,10.005144716814161,0.0011499135019469025,-0.002821500040442478,0.004778761021681416,-0.04663693893338196,0.020828490614256387,-2.868978795752061,1017.9787015044247,-81.0,-85.0,-87.0,-82.0,-84.0,-61.0,-61.0,-86.0,-87.0,-82.0,-84.0,-64.0,-61.0,-88.0,-82.0,-81.0,-90.0,-83.0,-81.0,-84.0,-84.0,-86.0,-72.0,-85.0,-87.0,-58.0,-63.0,-58.0,-64.0,-83.0,-67.0,-80.0,-54.0,-57.0,-83.0,-86.0,-72.0,-86.0,-86.0,-58.0,-63.0,-58.0,-64.0,-83.0,-68.0,-81.0,-54.0,-57.0,-42.0,-41.0,-66.0,-72.0,-61.0,-73.0,-67.0,-76.0,-60.0,-72.0,-43.0,-41.0,-64.0,-73.0,-61.0,-73.0,-67.0,-76.0,-60.0,-72.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 112959,7.0,17.0,7.5973682570175445,-33.463157403508774,-25.443683894736843,-0.1476889498824561,0.40345630991228076,10.000927824561405,0.004615087083157895,-0.00041644921675438565,0.005768796914824561,-0.040337619584119064,0.014743635412100898,-2.9229968869895266,1017.9790207017544,-82.0,-81.0,-87.0,-83.0,-100.0,-62.0,-58.0,-80.0,-86.0,-82.0,-100.0,-61.0,-58.0,-89.0,-85.0,-100.0,-100.0,-85.0,-100.0,-80.0,-81.0,-86.0,-100.0,-85.0,-89.0,-57.0,-60.0,-59.0,-65.0,-83.0,-73.0,-79.0,-54.0,-54.0,-81.0,-85.0,-100.0,-86.0,-89.0,-57.0,-61.0,-58.0,-66.0,-84.0,-73.0,-79.0,-55.0,-54.0,-41.0,-43.0,-70.0,-72.0,-63.0,-68.0,-68.0,-75.0,-61.0,-74.0,-41.0,-43.0,-70.0,-71.0,-63.0,-68.0,-68.0,-76.0,-61.0,-74.0,-75.0,-86.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113012,7.0,16.0,5.9491070357142855,-30.505178107142857,-21.12749974107143,-0.17210987881964288,0.32440285669642854,9.996075955357144,0.0012880530941071432,-0.000938899895357142,-0.00047228620660714294,-0.03242669227932177,0.017204239724248595,-2.9573528234447752,1017.9779125892858,-79.0,-73.0,-86.0,-75.0,-100.0,-56.0,-60.0,-75.0,-87.0,-75.0,-100.0,-55.0,-60.0,-100.0,-87.0,-100.0,-91.0,-100.0,-100.0,-100.0,-80.0,-91.0,-79.0,-85.0,-100.0,-64.0,-66.0,-59.0,-64.0,-82.0,-70.0,-77.0,-52.0,-62.0,-81.0,-91.0,-79.0,-86.0,-100.0,-64.0,-65.0,-43.0,-64.0,-83.0,-70.0,-78.0,-50.0,-62.0,-42.0,-46.0,-68.0,-74.0,-63.0,-62.0,-71.0,-72.0,-60.0,-74.0,-40.0,-46.0,-68.0,-74.0,-63.0,-63.0,-71.0,-73.0,-59.0,-75.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113026,7.0,15.0,1.7565671292537315,-27.859701059701493,-17.528954985074627,-0.29689007514925375,0.4293435035820896,9.984393917910449,0.002075893405671641,0.00016658396067164164,-0.0035318222464179095,-0.042978991893356376,0.029711053077715276,-2.6747178693315874,1017.9733997761192,-82.0,-75.0,-85.0,-100.0,-100.0,-55.0,-56.0,-71.0,-87.0,-100.0,-100.0,-53.0,-56.0,-100.0,-100.0,-79.0,-92.0,-100.0,-100.0,-100.0,-87.0,-100.0,-71.0,-89.0,-88.0,-66.0,-72.0,-59.0,-69.0,-83.0,-71.0,-76.0,-55.0,-55.0,-100.0,-100.0,-71.0,-88.0,-88.0,-66.0,-72.0,-60.0,-69.0,-84.0,-71.0,-76.0,-51.0,-55.0,-45.0,-52.0,-65.0,-71.0,-64.0,-62.0,-64.0,-72.0,-61.0,-71.0,-45.0,-52.0,-65.0,-70.0,-65.0,-62.0,-71.0,-72.0,-61.0,-71.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113041,7.0,14.0,-1.235575193185841,-23.219468840707968,-19.14530945132743,-0.18094784819646018,0.4245917942035399,9.988596654867257,0.0021445965906194686,-0.001270010703097345,0.00034052760407079683,-0.04248576031882411,0.018087254991492746,3.0704612204458863,1017.972239380531,-85.0,-100.0,-100.0,-85.0,-86.0,-59.0,-59.0,-100.0,-100.0,-100.0,-86.0,-58.0,-59.0,-100.0,-100.0,-100.0,-92.0,-100.0,-85.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-68.0,-80.0,-65.0,-73.0,-86.0,-77.0,-82.0,-59.0,-60.0,-100.0,-100.0,-71.0,-100.0,-100.0,-67.0,-80.0,-67.0,-73.0,-87.0,-77.0,-81.0,-62.0,-60.0,-38.0,-49.0,-70.0,-71.0,-67.0,-67.0,-68.0,-78.0,-62.0,-73.0,-38.0,-49.0,-69.0,-71.0,-67.0,-67.0,-69.0,-79.0,-62.0,-73.0,-100.0,-81.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113053,7.0,13.0,-2.8774789521848745,-17.62386534453782,-21.31865526890756,-0.28047219248739497,0.254014450092437,9.995413214285712,-0.002489429914957983,-0.000157351727394958,0.0015374092293277313,-0.025429516443747892,0.028060859392060534,2.9394912138706495,1017.963597394958,-88.0,-100.0,-100.0,-81.0,-85.0,-58.0,-58.0,-100.0,-100.0,-78.0,-86.0,-59.0,-58.0,-100.0,-100.0,-83.0,-100.0,-100.0,-85.0,-79.0,-100.0,-100.0,-73.0,-90.0,-94.0,-75.0,-81.0,-70.0,-76.0,-87.0,-81.0,-85.0,-56.0,-66.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-81.0,-69.0,-76.0,-86.0,-81.0,-86.0,-56.0,-66.0,-52.0,-57.0,-72.0,-81.0,-70.0,-77.0,-77.0,-79.0,-66.0,-77.0,-52.0,-57.0,-74.0,-80.0,-70.0,-77.0,-78.0,-82.0,-66.0,-77.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113106,7.0,12.0,0.4658536511382114,-16.087804609756095,-27.27365822764228,-0.3519583956910569,0.4082725198373983,9.989517926829269,5.594628357723615e-05,-0.0008730953995121949,-0.0012573293974796748,-0.040832580710814206,0.03522345078427612,0.9603581331609711,1017.9626332520327,-89.0,-100.0,-100.0,-100.0,-100.0,-58.0,-61.0,-100.0,-100.0,-100.0,-86.0,-58.0,-62.0,-100.0,-100.0,-85.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-87.0,-100.0,-100.0,-78.0,-67.0,-73.0,-100.0,-78.0,-100.0,-61.0,-69.0,-68.0,-100.0,-73.0,-87.0,-100.0,-77.0,-78.0,-67.0,-72.0,-100.0,-79.0,-100.0,-60.0,-69.0,-51.0,-56.0,-71.0,-78.0,-68.0,-81.0,-78.0,-81.0,-63.0,-79.0,-52.0,-56.0,-71.0,-79.0,-68.0,-80.0,-77.0,-82.0,-63.0,-79.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113125,7.0,11.0,1.8152458756557377,-18.984589967213115,-35.7708191557377,-0.28933437299180326,0.32138232967213126,9.998766356557375,-0.00040702653573770474,-0.0029642686569672128,-0.0014408008378688523,-0.03213951993184007,0.028917877995943392,-0.4225558159781284,1017.9604369672132,-89.0,-89.0,-100.0,-100.0,-85.0,-55.0,-58.0,-100.0,-100.0,-79.0,-85.0,-54.0,-58.0,-100.0,-100.0,-100.0,-90.0,-100.0,-85.0,-83.0,-87.0,-100.0,-66.0,-84.0,-100.0,-80.0,-83.0,-62.0,-70.0,-88.0,-75.0,-83.0,-59.0,-68.0,-100.0,-100.0,-66.0,-85.0,-100.0,-81.0,-83.0,-62.0,-70.0,-100.0,-76.0,-83.0,-59.0,-68.0,-56.0,-57.0,-65.0,-74.0,-69.0,-72.0,-72.0,-80.0,-65.0,-76.0,-56.0,-57.0,-65.0,-74.0,-69.0,-72.0,-72.0,-81.0,-65.0,-76.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113141,7.0,10.0,1.6130356918750002,-28.309820999999992,-37.88517805357143,-0.30894696035714286,0.4269291266964285,9.997422674107144,-0.0013081241564285718,-0.0006280131432142861,0.0032038136354464283,-0.042669925140216905,0.03088732855394478,0.4079361472811018,1017.9559951785714,-82.0,-85.0,-100.0,-69.0,-75.0,-55.0,-58.0,-86.0,-100.0,-100.0,-75.0,-55.0,-58.0,-88.0,-100.0,-100.0,-91.0,-100.0,-81.0,-78.0,-83.0,-100.0,-68.0,-84.0,-100.0,-70.0,-76.0,-59.0,-62.0,-81.0,-72.0,-75.0,-59.0,-67.0,-83.0,-100.0,-68.0,-84.0,-100.0,-70.0,-76.0,-59.0,-62.0,-81.0,-72.0,-75.0,-60.0,-67.0,-49.0,-57.0,-67.0,-76.0,-66.0,-69.0,-68.0,-72.0,-62.0,-74.0,-49.0,-59.0,-66.0,-75.0,-66.0,-69.0,-68.0,-72.0,-62.0,-75.0,-80.0,-100.0,-100.0,-100.0,-94.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113200,8.0,10.0,22.614260721739132,-5.434956439999998,-37.15721687826086,-0.33134681443478264,0.2909772584347826,10.004924926086955,-0.0016157385387826086,0.001171241205043478,-0.0033987479186086958,-0.029071130469927275,0.033062973750107263,-1.769538834820623,1017.9571687826087,-80.0,-100.0,-100.0,-100.0,-78.0,-58.0,-60.0,-100.0,-100.0,-100.0,-78.0,-58.0,-61.0,-90.0,-100.0,-100.0,-100.0,-100.0,-81.0,-75.0,-100.0,-100.0,-68.0,-81.0,-100.0,-66.0,-75.0,-63.0,-56.0,-77.0,-68.0,-78.0,-62.0,-67.0,-100.0,-100.0,-68.0,-81.0,-100.0,-66.0,-76.0,-62.0,-56.0,-77.0,-68.0,-78.0,-63.0,-67.0,-61.0,-63.0,0.0,-70.0,-60.0,-66.0,-66.0,-74.0,-59.0,-73.0,-61.0,-63.0,0.0,-70.0,-61.0,-66.0,-65.0,-74.0,-59.0,-74.0,-76.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113214,9.0,10.0,21.080526114035084,-3.978947297368421,-33.71894686842106,-0.32482328248245607,0.35269348221052627,10.006661469298246,-0.00354049966491228,0.001748371578157895,0.0010908554632456137,-0.03518486404260451,0.03245872144358587,-1.7070809111260532,1017.9539054385964,-87.0,-86.0,-100.0,-67.0,-76.0,-63.0,-60.0,-86.0,-100.0,-66.0,-76.0,-62.0,-60.0,-100.0,-100.0,-83.0,-92.0,-100.0,-78.0,-77.0,-79.0,-100.0,-66.0,-82.0,-88.0,-71.0,-76.0,-57.0,-62.0,-80.0,-68.0,-77.0,-56.0,-67.0,-79.0,-100.0,-66.0,-82.0,-90.0,-71.0,-76.0,-58.0,-62.0,-84.0,-70.0,-77.0,-55.0,-67.0,-51.0,-64.0,-61.0,-69.0,-61.0,-69.0,-61.0,-70.0,-59.0,-70.0,-51.0,-64.0,-60.0,-70.0,-61.0,-69.0,-62.0,-71.0,-58.0,-70.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113225,10.0,10.0,20.30054034234234,-1.1345945781081077,-33.07675625225226,-0.2978175888198198,0.27827512963423423,9.987512391891892,-0.0017357102093693694,-0.001592415761081081,-0.002956235613963964,-0.027856097536723648,0.02979023746206412,-1.5789429668907646,1017.9512657657659,-84.0,-85.0,-100.0,-61.0,-78.0,-63.0,-62.0,-100.0,-100.0,-61.0,-78.0,-62.0,-62.0,-89.0,-100.0,-80.0,-100.0,-100.0,-82.0,-80.0,-84.0,-100.0,-71.0,-81.0,-87.0,-68.0,-75.0,-53.0,-62.0,-86.0,-69.0,-73.0,-50.0,-71.0,-100.0,-100.0,-70.0,-82.0,-87.0,-70.0,-76.0,-52.0,-62.0,-85.0,-69.0,-73.0,-49.0,-71.0,-58.0,-63.0,-60.0,-71.0,-62.0,-66.0,-63.0,-61.0,-56.0,-63.0,-57.0,-62.0,-60.0,-71.0,-63.0,-66.0,-65.0,-61.0,-57.0,-62.0,-80.0,-83.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113236,11.0,10.0,19.064736578947368,0.6321052492982456,-34.873683640350876,-0.23518499298245613,0.3238571724561403,10.002314057017543,-0.00440321306368421,0.0015447497092982456,0.0018410407314035087,-0.032383727481621355,0.023473791253197443,-1.470794099464751,1017.949836754386,-83.0,-80.0,-100.0,-64.0,-68.0,-61.0,-69.0,-79.0,-100.0,-100.0,-69.0,-60.0,-70.0,-91.0,-100.0,-83.0,-100.0,-100.0,-80.0,-100.0,-81.0,-100.0,-64.0,-79.0,-100.0,-71.0,-73.0,-53.0,-60.0,-80.0,-64.0,-71.0,-53.0,-63.0,-83.0,-92.0,-64.0,-80.0,-100.0,-72.0,-72.0,-53.0,-60.0,-67.0,-65.0,-71.0,-53.0,-63.0,-59.0,-64.0,-64.0,-67.0,-63.0,-71.0,-58.0,-66.0,-58.0,-62.0,-59.0,-64.0,-64.0,-69.0,-63.0,-71.0,-58.0,-66.0,-59.0,-63.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113249,12.0,10.0,19.551281871794867,0.5174358852991453,-34.9010251025641,-0.1997684675384615,0.286044216148718,10.000619850427352,0.000991664118974359,0.0017173197007692305,-0.004060280231623931,-0.028602761697545446,0.019967828936970335,-1.4874068702388012,1017.9456178632478,-78.0,-86.0,-100.0,-66.0,-76.0,-66.0,-69.0,-86.0,-100.0,-66.0,-76.0,-66.0,-69.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-78.0,-100.0,-68.0,-80.0,-86.0,-62.0,-75.0,-56.0,-62.0,-79.0,-66.0,-67.0,-51.0,-63.0,-79.0,-100.0,-68.0,-81.0,-85.0,-62.0,-75.0,-56.0,-62.0,-81.0,-66.0,-68.0,-52.0,-63.0,-51.0,-55.0,-59.0,-68.0,-56.0,-63.0,-62.0,-69.0,-51.0,-64.0,-50.0,-56.0,-59.0,-69.0,-56.0,-63.0,-62.0,-69.0,-51.0,-64.0,-78.0,-86.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
