Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ia:ct:de:06,00:1a:ia:ct:de:09,00:1a:ia:ct:de:10,00:1a:ia:ct:de:16,00:1a:ia:ct:de:17,00:1a:ia:ct:de:18,00:1a:ia:ct:de:19,00:1a:ia:ct:de:23,00:1a:ia:ct:de:24,00:1a:ia:ct:de:29,00:1a:ia:ct:de:30,00:1a:ia:ct:de:31,00:1a:ia:ct:de:32,00:1a:ia:ct:de:36,00:1a:ia:ct:de:39,00:1a:ia:ct:de:40,00:1a:ia:ct:de:44,00:1a:ia:ct:de:46,00:1a:ia:ct:de:47,00:1a:ia:ct:de:62,00:1a:ia:ct:de:63,00:1a:ia:ct:de:64,00:1a:ia:ct:de:65,00:1a:ia:ct:de:66,00:1a:ia:ct:de:67,00:1a:ia:ct:de:68,00:1a:ia:ct:de:69,00:1a:ia:ct:de:70,00:1a:ia:ct:de:71,00:1a:ia:ct:de:72,00:1a:ia:ct:de:74,00:1a:ia:ct:de:75,00:1a:ia:ct:de:76,00:1a:ia:ct:de:77,00:1a:ia:ct:de:78,00:1a:ia:ct:de:79,00:1a:ia:ct:de:80,00:1a:ia:ct:de:81,00:1a:ia:ct:de:82,00:1a:ia:ct:de:83,00:1a:ia:ct:de:84,00:1a:ia:ct:de:85,00:1a:ia:ct:de:86,00:1a:ia:ct:de:87,00:1a:ia:ct:de:89,00:1a:ia:ct:de:90,00:1a:ia:ct:de:91,00:1a:ia:ct:de:92,00:1a:ia:ct:de:93,00:1a:ia:ct:de:94,00:1a:ia:ct:de:95,00:1a:ia:ct:de:96,00:1a:ia:ct:de:97,00:1a:ia:ct:de:98,00:1a:ia:ct:de:99,00:1a:ia:ct:df:01,00:1a:ia:ct:df:02,00:1a:ia:ct:df:03,00:1a:ia:ct:df:04,00:1a:ia:ct:df:05,00:1a:ia:ct:df:06,00:1a:ia:ct:df:07,00:1a:ia:ct:df:08,00:1a:ia:ct:df:09,00:1a:ia:ct:df:10,00:1a:ia:ct:df:11,00:1a:ia:ct:df:12,00:1a:ia:ct:df:13,00:1a:ia:ct:df:15,00:1a:ia:ct:de:07,94:f6:65:00:06:7c,88:57:1d:0b:2b:53,00:1a:ia:ct:de:58,00:1a:ia:ct:de:59,00:1a:ia:ct:de:35,00:1a:ia:ct:df:14,00:1a:ia:ct:de:57,00:1a:ia:ct:de:73,00:1a:ia:ct:de:88,88:3c:1c:7c:d0:74,00:23:eb:22:cc:77,50:64:2b:74:9e:a9,94:f6:65:40:06:7c,00:1a:ia:ct:de:51,00:1a:ia:ct:de:21,00:1a:ia:ct:de:34,00:1a:ia:ct:de:53,00:1a:ia:ct:de:05,00:1a:ia:ct:de:12,00:1a:ia:ct:de:13,00:1a:ia:ct:de:26,00:1a:ia:ct:de:27,00:1a:ia:ct:de:33,00:1a:ia:ct:de:50,00:1a:ia:ct:de:38,00:1a:ia:ct:df:16,00:1a:ia:ct:df:17,00:1a:ia:ct:de:41,00:1a:ia:ct:de:14,00:1a:ia:ct:de:20,00:1a:ia:ct:de:28,00:1a:ia:ct:de:45,00:1a:ia:ct:de:56,00:1a:ia:ct:de:42,00:1a:ia:ct:de:54,00:1a:ia:ct:de:61
2021.02.12 113319,13.0,11.0,-7.17443465826087,14.797564995652172,-32.39113,-0.1975172621026087,0.37365260888695656,10.00665294347826,-0.0006011710179130434,-0.0013465858595652172,0.0023858803715652178,-0.037335985093175025,0.019744509406661087,0.45229245968486953,1017.9456013043479,-85.0,-81.0,-86.0,-66.0,-76.0,-66.0,-65.0,-77.0,-88.0,-100.0,-76.0,-63.0,-66.0,-84.0,-100.0,-84.0,-100.0,-100.0,-100.0,-70.0,-75.0,-88.0,-67.0,-77.0,-85.0,-63.0,-72.0,-50.0,-58.0,-82.0,-67.0,-67.0,-42.0,-49.0,-76.0,-89.0,-67.0,-77.0,-88.0,-63.0,-72.0,-50.0,-58.0,-81.0,-67.0,-67.0,-42.0,-49.0,-44.0,-52.0,-57.0,-66.0,-61.0,-54.0,-66.0,-70.0,-59.0,-63.0,-44.0,-53.0,-57.0,-65.0,-61.0,-54.0,-66.0,-70.0,-59.0,-63.0,-100.0,-79.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113331,13.0,12.0,-12.032307495726496,20.736922777777778,-31.33333290598291,-0.19948197172649573,0.3206486481965812,9.995974542735043,0.0021194153492307697,-0.0006687094942735045,-0.0006822478774358975,-0.03207380637430987,0.019971612136428892,0.5258010778671656,1017.9391282905985,-88.0,-83.0,-100.0,-100.0,-79.0,-62.0,-67.0,-83.0,-100.0,-81.0,-79.0,-64.0,-67.0,-84.0,-84.0,-100.0,-100.0,-84.0,-77.0,-72.0,-100.0,-100.0,-60.0,-76.0,-100.0,-64.0,-74.0,-54.0,-58.0,-83.0,-58.0,-70.0,-44.0,-53.0,-82.0,-100.0,-60.0,-76.0,-100.0,-65.0,-74.0,-53.0,-58.0,-84.0,-58.0,-70.0,-44.0,-53.0,-46.0,-59.0,-60.0,-74.0,-54.0,-58.0,-69.0,-69.0,-58.0,-62.0,-45.0,-58.0,-59.0,-74.0,-53.0,-58.0,-68.0,-69.0,-59.0,-62.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113343,13.0,13.0,-11.853451070796458,18.29309719469026,-30.690264999999993,-0.1676628010159292,0.18649917572743363,10.010462933628318,-0.0023801311824778763,0.0001517379511504422,0.0012919637436283181,-0.018629523731929838,0.016738852104702637,0.5778632240485301,1017.9408658407079,-84.0,-84.0,-100.0,-71.0,-83.0,-100.0,-79.0,-83.0,-100.0,-70.0,-84.0,-65.0,-79.0,-88.0,-100.0,-78.0,-100.0,-100.0,-100.0,-78.0,-83.0,-91.0,-62.0,-78.0,-90.0,-68.0,-72.0,-52.0,-58.0,-87.0,-68.0,-75.0,-43.0,-49.0,-83.0,-91.0,-62.0,-78.0,-90.0,-68.0,-72.0,-52.0,-58.0,-90.0,-68.0,-75.0,-45.0,-49.0,-46.0,-60.0,-63.0,-70.0,-53.0,-56.0,-68.0,-73.0,-59.0,-63.0,-45.0,-60.0,-63.0,-70.0,-53.0,-56.0,-68.0,-73.0,-59.0,-63.0,-75.0,-85.0,-100.0,-100.0,-100.0,-100.0,-80.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113354,13.0,14.0,-13.139463928571429,17.567142580357142,-34.057499553571425,-0.29278560532142855,0.22085047325892854,9.991479754464288,-0.00032092240857142844,-0.0016915732654464281,-0.0045083600027678574,-0.022080839947843045,0.029281825493464,0.6558775981622083,1017.9384623214286,-89.0,-85.0,-100.0,-78.0,-79.0,-63.0,-75.0,-85.0,-100.0,-78.0,-79.0,-63.0,-75.0,-88.0,-100.0,-89.0,-100.0,-100.0,-80.0,-79.0,-83.0,-100.0,-66.0,-79.0,-91.0,-68.0,-67.0,-53.0,-59.0,-82.0,-66.0,-70.0,-51.0,-60.0,-83.0,-100.0,-66.0,-79.0,-90.0,-68.0,-67.0,-53.0,-59.0,-83.0,-67.0,-70.0,-51.0,-60.0,-40.0,-58.0,-63.0,-67.0,-55.0,-56.0,-69.0,-71.0,-50.0,-66.0,-40.0,-58.0,-62.0,-67.0,-55.0,-56.0,-69.0,-71.0,-50.0,-66.0,-100.0,-89.0,-100.0,-100.0,-100.0,-88.0,-85.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113408,13.0,15.0,-12.951651882608695,19.65704325217391,-35.20017356521739,-0.2219596836695652,0.14990242225565215,10.0084018,-0.0035651952292173913,0.0006666132906086951,0.002093727349043478,-0.014973482952848779,0.022160481520847413,0.5958212041336557,1017.9398770434782,-88.0,-83.0,-87.0,-100.0,-76.0,-69.0,-76.0,-82.0,-86.0,-77.0,-76.0,-70.0,-76.0,-86.0,-100.0,-81.0,-100.0,-100.0,-81.0,-78.0,-83.0,-100.0,-63.0,-78.0,-87.0,-67.0,-70.0,-60.0,-60.0,-100.0,-63.0,-70.0,-43.0,-54.0,-83.0,-100.0,-61.0,-79.0,-87.0,-67.0,-70.0,-61.0,-60.0,-100.0,-63.0,-70.0,-42.0,-54.0,-49.0,-48.0,-63.0,-60.0,-52.0,-62.0,-71.0,-69.0,-61.0,-67.0,-49.0,-48.0,-63.0,-60.0,-52.0,-62.0,-70.0,-69.0,-61.0,-67.0,-76.0,-85.0,-100.0,-100.0,-100.0,-87.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113420,13.0,16.0,-10.943305545454546,18.639669223140498,-34.063139892561985,-0.3343674019173554,0.12353270724297519,10.003082305785124,-0.0028415078031404947,-0.003742064607933884,-0.004070765393057851,-0.012347725448285168,0.033444340373504834,0.5635029597223298,1017.9411985123967,-78.0,-82.0,-87.0,-100.0,-78.0,-67.0,-76.0,-82.0,-86.0,-100.0,-79.0,-67.0,-76.0,-86.0,-85.0,-82.0,-100.0,-85.0,-75.0,-100.0,-100.0,-91.0,-67.0,-80.0,-83.0,-67.0,-66.0,-51.0,-61.0,-81.0,-67.0,-69.0,-46.0,-57.0,-84.0,-90.0,-67.0,-81.0,-84.0,-62.0,-66.0,-52.0,-61.0,-85.0,-66.0,-69.0,-45.0,-57.0,-37.0,-43.0,0.0,-63.0,-58.0,-57.0,-65.0,-71.0,-54.0,-63.0,-37.0,-43.0,0.0,-63.0,-58.0,-57.0,-66.0,-72.0,-54.0,-63.0,-100.0,-84.0,-100.0,-100.0,-100.0,-87.0,-81.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113432,13.0,17.0,-11.890768961538464,17.689743418803417,-33.58666603418803,-0.3285067820854701,0.13463191434529914,10.008457508547009,-0.0030755497003418803,-0.0012117008889743592,-0.0016481458437606834,-0.013453891897463596,0.03279429532659164,0.6213217505023011,1017.9400328205131,-78.0,-82.0,-86.0,-100.0,-81.0,-75.0,-76.0,-82.0,-85.0,-100.0,-81.0,-75.0,-76.0,-88.0,-100.0,-100.0,-100.0,-100.0,-80.0,-77.0,-100.0,-100.0,-69.0,-82.0,-86.0,-62.0,-67.0,-51.0,-61.0,-81.0,-63.0,-70.0,-52.0,-61.0,-100.0,-100.0,-67.0,-81.0,-88.0,-63.0,-67.0,-51.0,-61.0,-80.0,-63.0,-70.0,-52.0,-61.0,-42.0,-42.0,-68.0,-73.0,-58.0,-63.0,-66.0,-69.0,-53.0,-63.0,-42.0,-43.0,-66.0,-73.0,-58.0,-63.0,-73.0,-70.0,-52.0,-63.0,-83.0,-80.0,-100.0,-100.0,-100.0,-100.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113446,13.0,18.0,-11.718499728333333,16.95649975,-35.13249950833333,-0.37077340636666667,0.2757606008,9.996097275000002,-0.0010710504153333329,0.0005017240035000001,-0.0074114245212499996,-0.02758615589506609,0.03706388800249741,0.6260289385914802,1017.940287,-78.0,-79.0,-83.0,-80.0,-78.0,-71.0,-81.0,-78.0,-83.0,-80.0,-78.0,-71.0,-81.0,-88.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-79.0,-89.0,-66.0,-83.0,-89.0,-64.0,-66.0,-58.0,-62.0,-87.0,-67.0,-75.0,-61.0,-68.0,-79.0,-89.0,-66.0,-83.0,-87.0,-64.0,-66.0,-57.0,-62.0,-88.0,-67.0,-76.0,-60.0,-68.0,-35.0,-39.0,-68.0,-73.0,-61.0,-66.0,-73.0,-77.0,-57.0,-63.0,-34.0,-39.0,-67.0,-73.0,-61.0,-66.0,-73.0,-77.0,-57.0,-63.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-79.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113503,14.0,18.0,27.41789436842105,5.628420947368421,-38.43684151754387,-0.2390284339385965,0.39131691473684216,10.009223789473687,0.00047835045807017543,0.00137863712622807,0.002837715584824561,-0.039065357493726784,0.02387553550049724,-1.3064006316034418,1017.9422978947366,-86.0,-100.0,-85.0,-77.0,-81.0,-80.0,-80.0,-100.0,-86.0,-75.0,-83.0,-79.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-80.0,-80.0,-86.0,-66.0,-83.0,-85.0,-63.0,-69.0,-58.0,-65.0,-85.0,-73.0,-75.0,-59.0,-62.0,-80.0,-87.0,-68.0,-83.0,-84.0,-63.0,-69.0,-59.0,-65.0,-87.0,-73.0,-75.0,-58.0,-62.0,-45.0,-40.0,-71.0,-76.0,-64.0,-65.0,-78.0,-74.0,-55.0,-60.0,-46.0,-40.0,-71.0,-76.0,-63.0,-65.0,-78.0,-74.0,-54.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113515,15.0,18.0,33.851904499999996,2.630476144206348,-34.74380902380952,-0.17027854424603175,0.39370618968253973,10.006871555555554,-0.0003445570533333334,0.0013857816637301583,-0.003618727083253968,-0.0393328074927604,0.017067191634504514,-1.44971578934836,1017.9396460317461,-87.0,-68.0,-80.0,-100.0,-82.0,-71.0,-77.0,-70.0,-81.0,-75.0,-82.0,-70.0,-79.0,-84.0,-100.0,-89.0,-100.0,-100.0,-100.0,-81.0,-79.0,-87.0,-63.0,-70.0,-86.0,-56.0,-72.0,-55.0,-57.0,-86.0,-69.0,-75.0,-58.0,-66.0,-100.0,-86.0,-62.0,-71.0,-86.0,-56.0,-72.0,-54.0,-58.0,-88.0,-68.0,-75.0,-57.0,-66.0,-46.0,-50.0,-67.0,-69.0,-60.0,-68.0,-69.0,-73.0,-58.0,-64.0,-46.0,-50.0,-67.0,-69.0,-61.0,-68.0,-72.0,-74.0,-59.0,-64.0,-73.0,-91.0,-100.0,-100.0,-100.0,-100.0,-72.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113527,16.0,18.0,33.290768675213684,3.3810256008547004,-33.17128165811965,-0.19661702795726496,0.34526670524786324,9.998389303418802,-0.0011176484109401718,-0.0032949079335897434,-0.00047340485461538445,-0.03451273370331197,0.019669485529168248,-1.431695818901062,1017.94017982906,-86.0,-74.0,-79.0,-72.0,-78.0,-70.0,-79.0,-75.0,-80.0,-72.0,-79.0,-71.0,-79.0,-83.0,-100.0,-86.0,-100.0,-100.0,-74.0,-79.0,-78.0,-82.0,-61.0,-76.0,-100.0,-65.0,-70.0,-58.0,-57.0,-81.0,-67.0,-71.0,-52.0,-66.0,-78.0,-83.0,-60.0,-76.0,-88.0,-65.0,-70.0,-58.0,-57.0,-81.0,-67.0,-72.0,-51.0,-66.0,-44.0,-51.0,-63.0,-67.0,-61.0,-64.0,-68.0,-70.0,-63.0,-69.0,-44.0,-51.0,-63.0,-67.0,-61.0,-65.0,-68.0,-70.0,-63.0,-69.0,-71.0,-83.0,-100.0,-100.0,-100.0,-100.0,-74.0,-82.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113539,17.0,18.0,29.13099959166666,7.6704998233333335,-33.84999965,-0.17053222264166668,0.20764348199166663,9.999968112500001,0.00021685714833333443,-0.0016261232589999998,-0.0021885265766666668,-0.020761831611162008,0.01702561715598368,-1.2842918733755748,1017.9426011666667,-87.0,-69.0,-78.0,-72.0,-78.0,-75.0,-79.0,-70.0,-75.0,-72.0,-78.0,-75.0,-79.0,-83.0,-100.0,-88.0,-100.0,-100.0,-74.0,-80.0,-100.0,-83.0,-63.0,-72.0,-87.0,-62.0,-71.0,-55.0,-61.0,-85.0,-66.0,-75.0,-51.0,-62.0,-100.0,-84.0,-63.0,-72.0,-100.0,-62.0,-71.0,-55.0,-62.0,-84.0,-66.0,-75.0,-51.0,-62.0,-47.0,-57.0,-64.0,-68.0,-64.0,-64.0,-71.0,-74.0,-57.0,-69.0,-47.0,-57.0,-64.0,-68.0,-65.0,-64.0,-70.0,-74.0,-55.0,-69.0,-100.0,-84.0,-100.0,-100.0,-100.0,-84.0,-77.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113554,18.0,18.0,28.98208653913043,9.474260594782608,-34.76712999130435,-0.23039169560000003,0.2232713308173913,10.011857891304349,-0.0013395211784347823,0.0005656878591304349,-0.0030959712736521733,-0.022299879752909313,0.02299441103418556,-1.2200883772062219,1017.9363950434782,-87.0,-66.0,-73.0,-63.0,-77.0,-76.0,-79.0,-65.0,-73.0,-63.0,-76.0,-76.0,-79.0,-83.0,-100.0,-100.0,-100.0,-100.0,-73.0,-78.0,-82.0,-76.0,-67.0,-72.0,-86.0,-65.0,-66.0,-53.0,-62.0,-81.0,-74.0,-75.0,-59.0,-63.0,-79.0,-77.0,-67.0,-72.0,-85.0,-64.0,-67.0,-53.0,-62.0,-81.0,-72.0,-75.0,-59.0,-63.0,-46.0,-52.0,-65.0,-70.0,-65.0,-65.0,-66.0,-72.0,-59.0,-66.0,-46.0,-52.0,-65.0,-69.0,-65.0,-65.0,-67.0,-72.0,-59.0,-67.0,-76.0,-90.0,-100.0,-100.0,-100.0,-100.0,-71.0,-81.0,-100.0,-86.0,-87.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113610,19.0,18.0,30.836999583333334,5.9624999249999995,-35.02499952499999,-0.44968471191666665,0.15925917856833335,10.009445412500002,-0.0019211711133333338,0.0012653056550833335,-0.0016234762042499997,-0.01589942246913168,0.044902133460467016,-1.3495541999737422,1017.9389652499999,-87.0,-64.0,-77.0,-71.0,-67.0,-75.0,-80.0,-65.0,-76.0,-72.0,-67.0,-74.0,-79.0,-81.0,-85.0,-83.0,-100.0,-84.0,-77.0,-100.0,-77.0,-82.0,-69.0,-72.0,-81.0,-67.0,-70.0,-55.0,-63.0,-82.0,-73.0,-77.0,-55.0,-65.0,-75.0,-82.0,-68.0,-72.0,-82.0,-67.0,-70.0,-55.0,-63.0,-81.0,-73.0,-78.0,-55.0,-65.0,-51.0,-58.0,-64.0,-68.0,-60.0,-65.0,-69.0,-76.0,-59.0,-75.0,-52.0,-58.0,-64.0,-69.0,-60.0,-65.0,-68.0,-76.0,-60.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-80.0,-100.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113624,20.0,18.0,28.660526017543855,1.7063157605263155,-36.58999943859649,-0.39965487166666663,0.2534150859333333,9.999478692982457,0.004931236436491229,-0.001600670551754386,-0.0026654299725438597,-0.025331713218883195,0.03988143877256985,-1.4725886886579949,1017.9340958771932,-89.0,-66.0,-73.0,-74.0,-67.0,-100.0,-83.0,-67.0,-73.0,-74.0,-67.0,-72.0,-82.0,-83.0,-100.0,-87.0,-100.0,-100.0,-76.0,-81.0,-75.0,-83.0,-65.0,-75.0,-87.0,-58.0,-69.0,-55.0,-64.0,-78.0,-71.0,-73.0,-56.0,-68.0,-75.0,-82.0,-66.0,-75.0,-87.0,-58.0,-70.0,-55.0,-64.0,-80.0,-71.0,-73.0,-57.0,-68.0,-51.0,-56.0,-64.0,-69.0,-62.0,-67.0,-70.0,-76.0,-60.0,-65.0,-50.0,-56.0,-50.0,-69.0,-61.0,-67.0,-70.0,-75.0,-61.0,-65.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-76.0,-78.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 113638,21.0,18.0,28.46421012280702,-1.4878947040350878,-34.93421002631579,-0.3839450670175439,0.2260909501894737,10.002419057017542,-0.0032136333145614034,-0.001123767013859649,-0.0049695710726315795,-0.022579216068838226,0.038334777660406424,-1.594454965047669,1017.9377370175438,-91.0,-65.0,-71.0,-100.0,-69.0,-78.0,-80.0,-64.0,-70.0,-65.0,-70.0,-76.0,-79.0,-80.0,-100.0,-89.0,-100.0,-100.0,-78.0,-81.0,-100.0,-81.0,-70.0,-79.0,-86.0,-67.0,-71.0,-44.0,-67.0,-85.0,-73.0,-74.0,-61.0,-69.0,-100.0,-81.0,-71.0,-79.0,-85.0,-67.0,-71.0,-58.0,-67.0,-86.0,-73.0,-74.0,-62.0,-69.0,-47.0,-57.0,-65.0,-71.0,-66.0,-67.0,-70.0,-72.0,-61.0,-70.0,-47.0,-58.0,-65.0,-71.0,-66.0,-67.0,-69.0,-72.0,-61.0,-70.0,-69.0,-88.0,-100.0,-100.0,-100.0,-100.0,-71.0,-79.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
