Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a7,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:f1,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l4,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:v7,f0:b0:52:6a:20:c8,f0:b0:52:6a:20:cc,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:h7,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:n2,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,f0:b0:52:6a:1f:cc,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:x1,f4:28:53:71:29:24,00:1a:ab:a0:de:a2,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:w7,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:m1,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:k9,fa:d0:27:36:de:a9,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:m9,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:l8,90:9f:33:a4:06:5c,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:k6,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:l5,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:s8,f0:b0:52:6a:26:78,00:1a:ac:a0:de:q9,00:1a:ac:a0:de:v5,00:1a:ac:a0:de:v6
2021.01.19 085101,1.0,27.0,31.7415185949367,-28.472278164556965,-19.80683512658228,0.09380101932151898,0.861938930886076,9.654852579113925,-0.00013871276044303798,-0.0002716493992126582,-0.002436060970126582,-0.08903719116992584,-0.009711233826053484,-2.265861758702918,1024.5049398734177,-78.0,-64.0,-53.0,-90.0,-76.0,-79.0,-87.0,-78.0,-75.0,-43.0,-66.0,-88.0,-60.0,-59.0,-87.0,-73.0,-47.0,-62.0,-55.0,-87.0,-74.0,-48.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085115,1.0,26.0,11.139629404320987,-27.284444074074077,-31.352592148148148,0.14696709027160493,0.89572480654321,9.647390416666667,-0.0018787575194444447,-0.0017089822715777776,-0.0022788818032098766,-0.0925707593100306,-0.01520324185602707,-2.6956828288090082,1024.4994030864195,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-76.0,-89.0,-58.0,-78.0,-66.0,-82.0,-82.0,-60.0,-78.0,-55.0,-56.0,-74.0,-71.0,-81.0,-77.0,-64.0,-74.0,-84.0,-46.0,-69.0,-38.0,-51.0,-78.0,-72.0,-81.0,-66.0,-74.0,-85.0,-46.0,-68.0,-38.0,-51.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085128,1.0,25.0,5.983602383850932,-36.373043074534166,-33.943601987577644,0.18736315537391304,0.8893912984472051,9.667070431677018,-0.001449006414596273,-0.002133205950126708,0.0013031652578881989,-0.0917381473024439,-0.019358930589778656,-2.94388889377902,1024.5019149068326,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-82.0,-100.0,-100.0,-100.0,-100.0,-82.0,-55.0,-100.0,-72.0,-79.0,-100.0,-66.0,-80.0,-100.0,-59.0,-75.0,-57.0,-100.0,-76.0,-58.0,-72.0,-89.0,-37.0,-52.0,-36.0,-51.0,-72.0,-78.0,-100.0,-58.0,-72.0,-90.0,-36.0,-52.0,-36.0,-51.0,-72.0,-74.0,-74.0,-90.0,-62.0,-91.0,-68.0,-90.0,-61.0,-61.0,-90.0,-68.0,-91.0,-60.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085141,1.0,24.0,39.59926779878049,5.424146264024389,-35.34621908536585,0.20168845341951216,1.2424826300609755,9.625378902439024,-0.0008862165131097562,-0.001047395477762195,-0.0053562005252439015,-0.12835483116711055,-0.020927607786178647,-1.3323669389980595,1024.5073292682926,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-67.0,-57.0,-72.0,-100.0,-100.0,-67.0,-57.0,-72.0,-56.0,-79.0,-72.0,-100.0,-100.0,-59.0,-100.0,-46.0,-58.0,-79.0,-70.0,-100.0,-100.0,-45.0,-57.0,-82.0,-40.0,-59.0,-37.0,-51.0,-66.0,-100.0,-67.0,-45.0,-57.0,-82.0,-40.0,-59.0,-38.0,-51.0,-67.0,-75.0,-100.0,-89.0,-63.0,-82.0,-60.0,-81.0,-48.0,-63.0,-83.0,-59.0,-81.0,-48.0,-100.0,-83.0,-84.0,-89.0,-76.0,-77.0,-73.0,-69.0,-88.0,-87.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085312,8.0,24.0,32.43838449689441,4.414285628571428,-30.433415621118012,0.11119250128074533,0.9695920675776396,9.646087049689442,-0.001209972251552795,-0.0021787362573204966,-0.0020243429786335407,-0.10017919841205107,-0.011522591552770831,-1.3487012312278985,1024.5186260869566,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-76.0,-72.0,-100.0,-65.0,-52.0,-76.0,-57.0,-81.0,-64.0,-100.0,-71.0,-60.0,-79.0,-52.0,-59.0,-83.0,-100.0,-83.0,-74.0,-50.0,-64.0,-79.0,-38.0,-69.0,-37.0,-51.0,-63.0,-74.0,-100.0,-50.0,-64.0,-80.0,-38.0,-68.0,-38.0,-51.0,-63.0,-81.0,-100.0,-90.0,-100.0,-89.0,-62.0,-87.0,-58.0,-100.0,-87.0,-62.0,-87.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-85.0,-85.0,-70.0,-84.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085324,9.0,24.0,31.776352647058822,7.141411631764707,-32.34952901764706,0.03304099255058823,0.8953179402941177,9.6425193,-0.001379728892352942,-0.004039364331928234,-0.0013758481830588234,-0.09260609079809745,-0.0033958074841827653,-1.2641520766650929,1024.5227594117648,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-62.0,-72.0,-100.0,-100.0,-63.0,-60.0,-73.0,-51.0,-73.0,-66.0,-100.0,-69.0,-54.0,-100.0,-64.0,-54.0,-72.0,-65.0,-77.0,-67.0,-52.0,-60.0,-76.0,-51.0,-70.0,-39.0,-46.0,-68.0,-100.0,-68.0,-54.0,-60.0,-76.0,-52.0,-70.0,-39.0,-47.0,-69.0,-68.0,-61.0,-82.0,-57.0,-84.0,-55.0,-79.0,-55.0,-56.0,-85.0,-55.0,-79.0,-58.0,-71.0,-100.0,-73.0,-100.0,-100.0,-100.0,-79.0,-69.0,-90.0,-90.0,-89.0,-90.0,-84.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085338,10.0,24.0,30.20927665060241,8.195421524096385,-34.50542127710843,0.14587768271566268,0.958733983433735,9.641095620481929,-0.00023774436475903625,-0.0009574171831951805,-0.000767710398674699,-0.09910204925809994,-0.015127114902169081,-1.2118365728711507,1024.5231783132529,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-59.0,-71.0,-100.0,-100.0,-59.0,-60.0,-71.0,-47.0,-73.0,-68.0,-100.0,-68.0,-59.0,-100.0,-100.0,-57.0,-80.0,-59.0,-100.0,-61.0,-46.0,-56.0,-76.0,-56.0,-81.0,-40.0,-54.0,-61.0,-64.0,-100.0,-46.0,-56.0,-76.0,-56.0,-81.0,-41.0,-54.0,-61.0,-70.0,-62.0,-80.0,-57.0,-89.0,-52.0,-74.0,-54.0,-57.0,-100.0,-51.0,-74.0,-55.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-77.0,-100.0,-86.0,-100.0,-87.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-85.0,-83.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.01.19 085351,11.0,24.0,30.280248,9.350310366459627,-35.46298086956522,0.14310625116770184,0.8838443159627328,9.634472639130436,0.0002545866037267085,-0.0025088311906397514,-0.00026004267763975165,-0.09149652710242297,-0.014823835920860586,-1.1849055645628745,1024.5297099378884,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-69.0,-63.0,-74.0,-73.0,-100.0,-69.0,-62.0,-74.0,-49.0,-71.0,-72.0,-67.0,-65.0,-58.0,-100.0,-63.0,-56.0,-73.0,-58.0,-100.0,-72.0,-40.0,-57.0,-76.0,-64.0,-78.0,-41.0,-52.0,-64.0,-71.0,-62.0,-40.0,-57.0,-76.0,-69.0,-78.0,-41.0,-53.0,-63.0,-100.0,-56.0,-79.0,-67.0,-90.0,-49.0,-74.0,-50.0,-66.0,-90.0,-49.0,-74.0,-51.0,-63.0,-82.0,-66.0,-100.0,-70.0,-100.0,-100.0,-64.0,-88.0,-85.0,-89.0,-84.0,-84.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-75.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
