Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a1,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:i9,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:g3,00:1a:ac:a0:de:g4,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:e3,00:1a:ac:a0:de:e6,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:x7,00:1a:ac:a0:de:m8,00:1a:ac:a0:de:h8,00:1a:ab:a0:de:a5,00:1a:ac:a0:de:g7
2021.02.15 081219,14.0,14.0,5.588174810344827,5.143582643965516,-41.7230007586207,-0.13425899203448274,0.6392493896551724,9.734213120689654,0.00407878175862069,-0.0024420136896551718,-0.0013887597155172412,-0.06557988280172414,0.013775772836206897,-0.5668435454051725,998.9763742241379,-74.0,-68.0,-79.0,-86.0,-67.0,-50.0,-70.0,-82.0,-89.0,-79.0,-72.0,-60.0,-77.0,-72.0,-83.0,-66.0,-77.0,-69.0,-60.0,-49.0,-80.0,-91.0,-84.0,-80.0,-87.0,-78.0,-81.0,-80.0,-63.0,-59.0,-64.0,-86.0,-71.0,-77.0,-74.0,-32.0,-36.0,-53.0,-66.0,-66.0,-82.0,-68.0,-79.0,-74.0,-88.0,-53.0,-51.0,-56.0,-60.0,-64.0,-76.0,-63.0,-86.0,-72.0,-77.0,-72.0,-33.0,-36.0,-52.0,-66.0,-64.0,-83.0,-69.0,-78.0,-75.0,-89.0,-54.0,-51.0,-56.0,-61.0,-65.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.15 081231,14.0,15.0,20.46313949557522,-3.562790172566372,-36.037135442477876,-0.21595746981415928,0.8979129067256637,9.713984376106195,0.002880683159292036,-0.00208539403539823,0.000228845867256637,-0.09218258287610619,0.022224289070796457,-1.5804508164424778,999.005064778761,-100.0,-90.0,-100.0,-100.0,-50.0,-55.0,-100.0,-100.0,-100.0,-100.0,-65.0,-56.0,-100.0,-100.0,-100.0,-100.0,-53.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-83.0,-83.0,-100.0,-90.0,-69.0,-100.0,-100.0,-100.0,-100.0,-86.0,-71.0,-78.0,-73.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-71.0,-79.0,-73.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-73.0,-100.0,-100.0,-100.0,-100.0,-80.0,-69.0,-85.0,-71.0,-85.0,-51.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.15 081242,14.0,16.0,16.34681481578947,-0.7489232737017546,-32.41519559649122,-0.12603121750877191,0.5307823834210527,9.746050425438597,0.0029577219473684215,0.0002911681754385962,0.0011790848245614035,-0.05440671550877192,0.012935034701754385,-1.5063308676052634,999.0124114035086,-100.0,-100.0,-100.0,-100.0,-47.0,-51.0,-100.0,-100.0,-100.0,-92.0,-73.0,-58.0,-70.0,-100.0,-81.0,-100.0,-51.0,-100.0,-100.0,-77.0,-70.0,-100.0,-100.0,-100.0,-100.0,-82.0,-84.0,-100.0,-100.0,-65.0,-88.0,-100.0,-100.0,-100.0,-82.0,-71.0,-81.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-71.0,-83.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-82.0,-72.0,-80.0,-73.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-68.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61.0,-88.0,-72.0,-86.0,-52.0,-54.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.15 081254,14.0,17.0,23.481459324324323,-0.0697213511171171,-33.13750222522523,-0.15197362771171177,0.6605919427927925,9.734798855855859,0.003931476468468469,-0.0017575400630630627,0.0011738597297297295,-0.06775002390090089,0.015599343297297298,-1.4752913616756758,999.0285995495492,-100.0,-100.0,-100.0,-100.0,-45.0,-51.0,-100.0,-100.0,-100.0,-100.0,-68.0,-61.0,-80.0,-100.0,-100.0,-100.0,-49.0,-100.0,-100.0,-76.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-85.0,-74.0,-85.0,-100.0,-100.0,-100.0,-81.0,-73.0,-76.0,-67.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-61.0,-72.0,-84.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-60.0,-70.0,-75.0,-68.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-60.0,-72.0,-84.0,-100.0,-100.0,-100.0,-78.0,-67.0,-86.0,-75.0,-82.0,-57.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.15 081305,14.0,18.0,21.06095625,-1.5242084501785713,-32.8956021875,-0.1746209106160714,0.5117205982142857,9.745895941964287,0.0012552650357142857,-0.004779537696428572,-0.0040262571875,-0.05244087288392857,0.017889652508928575,-1.5601588625892855,999.024965625,-100.0,-100.0,-100.0,-56.0,-43.0,-53.0,-100.0,-100.0,-100.0,-90.0,-70.0,-66.0,-100.0,-100.0,-82.0,-100.0,-51.0,-100.0,-100.0,-74.0,-76.0,-87.0,-100.0,-93.0,-100.0,-76.0,-85.0,-100.0,-100.0,-70.0,-87.0,-100.0,-100.0,-100.0,-83.0,-100.0,-80.0,-70.0,-86.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-62.0,-71.0,-83.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-79.0,-72.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-71.0,-83.0,-100.0,-100.0,-100.0,-78.0,-65.0,-100.0,-77.0,-87.0,-51.0,-53.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.15 081316,14.0,19.0,24.269462582608693,-2.4253798915652176,-31.41722184347826,-0.13383545409565217,0.5401097667826087,9.745813652173913,-0.003614713026086957,-0.000819826556521739,0.0006892604695652172,-0.05535945170434782,0.013725574895652175,-1.5986158951565217,999.0401608695653,-100.0,-85.0,-100.0,-100.0,-40.0,-53.0,-100.0,-100.0,-100.0,-100.0,-69.0,-61.0,-90.0,-100.0,-100.0,-100.0,-45.0,-100.0,-100.0,-73.0,-67.0,-87.0,-100.0,-92.0,-100.0,-73.0,-100.0,-100.0,-90.0,-71.0,-100.0,-100.0,-100.0,-100.0,-81.0,-63.0,-79.0,-71.0,-100.0,-92.0,-100.0,-76.0,-100.0,-100.0,-100.0,-57.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-62.0,-78.0,-72.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-57.0,-66.0,-100.0,-100.0,-100.0,-100.0,-75.0,-70.0,-100.0,-79.0,-86.0,-53.0,-52.0,-90.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.15 081328,14.0,20.0,25.756359581818185,-1.882461053363636,-32.16525408181818,0.035102305136363636,0.6774819360000002,9.75044861818182,0.003307840145454546,-0.004405641718181819,0.001417445581818182,-0.06942597371818182,-0.003577468472727272,-1.5573472044818184,999.0607543636362,-100.0,-83.0,-100.0,-100.0,-37.0,-59.0,-100.0,-100.0,-100.0,-100.0,-68.0,-63.0,-89.0,-100.0,-100.0,-100.0,-44.0,-100.0,-100.0,-73.0,-73.0,-100.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-82.0,-100.0,-100.0,-100.0,-86.0,-61.0,-74.0,-76.0,-87.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-57.0,-64.0,-81.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-86.0,-62.0,-73.0,-76.0,-86.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-56.0,-64.0,-81.0,-100.0,-90.0,-100.0,-77.0,-65.0,-100.0,-73.0,-86.0,-59.0,-61.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.15 081340,13.0,20.0,6.259543234259259,-23.715504888888884,-31.50898585185185,-0.23428821208333336,0.4832558734259259,9.748287680555555,0.0024328087407407407,-0.002718595759259259,0.0029489110462962965,-0.049528468166666666,0.023983824370370374,-2.8978534207685187,999.0621781481481,-100.0,-73.0,-100.0,-100.0,-40.0,-54.0,-82.0,-100.0,-100.0,-90.0,-70.0,-64.0,-86.0,-100.0,-85.0,-100.0,-47.0,-100.0,-100.0,-68.0,-63.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-84.0,-72.0,-84.0,-100.0,-92.0,-100.0,-79.0,-65.0,-74.0,-71.0,-84.0,-90.0,-100.0,-76.0,-87.0,-100.0,-100.0,-57.0,-68.0,-77.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-78.0,-64.0,-74.0,-72.0,-84.0,-100.0,-100.0,-77.0,-87.0,-100.0,-100.0,-56.0,-68.0,-77.0,-100.0,-100.0,-100.0,-71.0,-65.0,-100.0,-75.0,-86.0,-61.0,-61.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0
2021.02.15 081402,11.0,20.0,4.940449215517241,-27.6198435862069,-30.95917538793103,-0.10555372675862068,0.5142375006896551,9.749435827586206,0.004146520646551724,-0.005061021905172413,0.0019889322241379306,-0.052722862844827585,0.010868576120689656,-2.966077636,999.0951541379311,-100.0,-84.0,-100.0,-52.0,-39.0,-51.0,-100.0,-100.0,-100.0,-91.0,-74.0,-69.0,-90.0,-100.0,-100.0,-89.0,-53.0,-100.0,-100.0,-74.0,-70.0,-89.0,-100.0,-100.0,-100.0,-77.0,-86.0,-100.0,-87.0,-75.0,-100.0,-100.0,-100.0,-100.0,-52.0,-69.0,-80.0,-53.0,-100.0,-92.0,-100.0,-76.0,-100.0,-100.0,-100.0,-61.0,-67.0,-85.0,-87.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-54.0,-69.0,-80.0,-55.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-61.0,-67.0,-86.0,-87.0,-100.0,-100.0,-78.0,-68.0,-100.0,-76.0,-89.0,-55.0,-64.0,-92.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0
2021.02.15 081415,11.0,19.0,31.77443805357143,-44.111244544642865,-28.2931519375,-0.2723615456607143,0.6470992386607143,9.737369241071429,0.004146031651785715,-0.003888937830357143,-0.0050127287857142854,-0.06633873583035714,0.027962796571428576,-2.507153911258929,999.110008125,-100.0,-100.0,-100.0,-100.0,-38.0,-45.0,-100.0,-100.0,-100.0,-100.0,-76.0,-69.0,-100.0,-100.0,-100.0,-90.0,-54.0,-100.0,-100.0,-76.0,-70.0,-100.0,-100.0,-100.0,-100.0,-71.0,-88.0,-100.0,-100.0,-76.0,-79.0,-100.0,-89.0,-100.0,-78.0,-68.0,-74.0,-76.0,-86.0,-90.0,-100.0,-77.0,-100.0,-100.0,-100.0,-57.0,-69.0,-83.0,-100.0,-94.0,-100.0,-83.0,-100.0,-89.0,-100.0,-79.0,-68.0,-75.0,-76.0,-86.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-58.0,-69.0,-84.0,-100.0,-94.0,-100.0,-77.0,-73.0,-100.0,-80.0,-85.0,-54.0,-64.0,-100.0,-100.0,-100.0,-88.0,-91.0,-100.0,-100.0,-100.0
2021.02.15 081429,11.0,18.0,40.20213258558559,-43.079547864864864,-27.35078713513513,-0.4116577913513514,0.6441672518918917,9.736482815315318,0.0032456717207207195,-0.0014341878378378373,-0.006236570603603602,-0.06606124516216216,0.042306721945945945,-2.381864687369369,999.1128684684686,-100.0,-73.0,-100.0,-63.0,-34.0,-59.0,-100.0,-100.0,-100.0,-83.0,-65.0,-71.0,-100.0,-100.0,-100.0,-84.0,-39.0,-100.0,-100.0,-65.0,-57.0,-82.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-70.0,-58.0,-86.0,-63.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-47.0,-76.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-58.0,-84.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-48.0,-77.0,-73.0,-100.0,-100.0,-100.0,-66.0,-66.0,-100.0,-68.0,-100.0,-48.0,-48.0,-100.0,-100.0,-100.0,-83.0,-100.0,-84.0,-100.0,-100.0
2021.02.15 081440,11.0,17.0,35.12072430973451,-41.998909097345134,-27.9012440619469,-0.18895751788495574,0.6455963591150443,9.73493246460177,0.005345737088495574,-0.004160628743362833,-0.0028115656548672566,-0.0662298976460177,0.019353876628318584,-2.429022122256637,999.1251326548673,-100.0,-83.0,-100.0,-100.0,-100.0,-44.0,-100.0,-100.0,-100.0,-100.0,-80.0,-63.0,-100.0,-100.0,-81.0,-100.0,-49.0,-100.0,-100.0,-73.0,-69.0,-100.0,-100.0,-97.0,-100.0,-75.0,-100.0,-100.0,-100.0,-80.0,-89.0,-100.0,-100.0,-100.0,-100.0,-56.0,-76.0,-73.0,-84.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-57.0,-71.0,-85.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-57.0,-76.0,-74.0,-84.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-57.0,-71.0,-83.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-72.0,-100.0,-56.0,-62.0,-100.0,-100.0,-89.0,-89.0,-87.0,-100.0,-89.0,-100.0
2021.02.15 081451,11.0,16.0,32.9527105754717,-43.72915944339623,-28.077605207547172,-0.14158962413207546,0.6203257832075473,9.739337910377357,0.009362562547169813,-0.008894173216981133,-0.0040327158396226415,-0.06360397711320755,0.014531599358490566,-2.4804084795849057,999.136293773585,-100.0,-77.0,-100.0,-53.0,-23.0,-50.0,-75.0,-100.0,-100.0,-82.0,-60.0,-71.0,-100.0,-100.0,-100.0,-100.0,-48.0,-100.0,-100.0,-100.0,-62.0,-83.0,-100.0,-100.0,-100.0,-71.0,-80.0,-100.0,-80.0,-70.0,-100.0,-100.0,-100.0,-100.0,-78.0,-66.0,-87.0,-70.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-59.0,-73.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-65.0,-87.0,-70.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-59.0,-72.0,-60.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-100.0,-100.0,-44.0,-65.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0
2021.02.15 081501,11.0,15.0,35.34800550909091,-40.36078234545454,-28.25905962727272,-0.15118048864545458,0.4491583131818183,9.753692577272727,0.003173651336363637,-0.003859078936363637,-0.005140285436363636,-0.04604981394545455,0.015523182200000003,-2.411387857527273,999.1480544545453,-100.0,-100.0,-100.0,-100.0,-43.0,-46.0,-100.0,-100.0,-100.0,-87.0,-65.0,-55.0,-83.0,-100.0,-85.0,-100.0,-62.0,-100.0,-100.0,-79.0,-64.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-90.0,-77.0,-89.0,-100.0,-100.0,-100.0,-54.0,-78.0,-81.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-74.0,-79.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-78.0,-76.0,-80.0,-80.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-66.0,-74.0,-85.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-76.0,-100.0,-60.0,-68.0,-89.0,-100.0,-100.0,-90.0,-84.0,-100.0,-100.0,-85.0
2021.02.15 081512,11.0,14.0,33.06795888073395,-48.3992421559633,-29.586722678899086,-0.2422959485045872,0.6388925659633027,9.745091032110093,0.0052479005688073396,-0.003961651293577981,-0.004913565018348625,-0.06548898807339448,0.024891399201834866,-2.5322270502201834,999.1655334862382,-100.0,-90.0,-100.0,-100.0,-44.0,-52.0,-85.0,-100.0,-100.0,-100.0,-68.0,-58.0,-100.0,-100.0,-85.0,-100.0,-57.0,-100.0,-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-92.0,-85.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-81.0,-74.0,-84.0,-74.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-71.0,-77.0,-57.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-81.0,-67.0,-82.0,-74.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-71.0,-77.0,-55.0,-100.0,-100.0,-100.0,-100.0,-63.0,-81.0,-71.0,-100.0,-60.0,-63.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-92.0,-100.0
